program_id,sample_id,run_id,measure_total_time_ns,measure_total_timer_time_ns
0,1,0,7379,0
0,1,1,6101,0
0,1,2,6247,0
0,1,3,5990,0
0,1,4,5734,0
0,1,5,5263,0
0,1,6,5247,0
0,1,7,5275,0
0,1,8,5199,0
0,1,9,5091,0
0,1,10,5253,0
0,1,11,5323,0
0,1,12,5193,0
0,1,13,5234,0
0,1,14,5261,0
0,1,15,5424,0
0,1,16,5260,0
0,1,17,5474,0
0,1,18,5275,0
0,1,19,5298,0
0,1,20,5429,0
0,1,21,5358,0
0,1,22,5434,0
0,1,23,5312,0
0,1,24,5150,0
0,1,25,5215,0
0,1,26,5323,0
0,1,27,5410,0
0,1,28,5646,0
0,1,29,5160,0
1,1,0,10000,0
1,1,1,10036,0
1,1,2,11193,0
1,1,3,9425,0
1,1,4,9998,0
1,1,5,10001,0
1,1,6,9790.4,0
1,1,7,9750.8,0
1,1,8,10162,0
1,1,9,9507.8,0
1,1,10,10151,0
1,1,11,10132,0
1,1,12,10001,0
1,1,13,9997,0
1,1,14,11143,0
1,1,15,9997,0
1,1,16,9975,0
1,1,17,10095,0
1,1,18,10155,0
1,1,19,10000,0
1,1,20,10036,0
1,1,21,11193,0
1,1,22,9425,0
1,1,23,9998,0
1,1,24,10001,0
1,1,25,9790.4,0
1,1,26,9750.8,0
1,1,27,10162,0
1,1,28,9507.8,0
1,1,29,10151,0
2,1,0,3518.7,0
2,1,1,4013.2,0
2,1,2,4000.4,0
2,1,3,3999.7,0
2,1,4,4001.1,0
2,1,5,3999.1,0
2,1,6,4513,0
2,1,7,3514.5,0
2,1,8,4007,0
2,1,9,4013.5,0
2,1,10,4014.6,0
2,1,11,4015.2,0
2,1,12,4514.4,0
2,1,13,4001.2,0
2,1,14,4000.9,0
2,1,15,3999.1,0
2,1,16,4021.8,0
2,1,17,4514.2,0
2,1,18,4511,0
2,1,19,3527.1,0
2,1,20,3684.3,0
2,1,21,3999.7,0
2,1,22,4013.3,0
2,1,23,4000.1,0
2,1,24,4013.1,0
2,1,25,4016.2,0
2,1,26,4014.7,0
2,1,27,4517,0
2,1,28,4000.3,0
2,1,29,4000.8,0
