opcode,intercept,intercept_p,estimate_marginal_ns,estimate_marginal_ns_p,arg0_ns_raw,arg1_ns_raw,arg2_ns_raw,arg0_ns_p,arg1_ns_p,arg2_ns_p,expensive_ns_raw,expensive_ns_p,has_impacting_arg0,has_impacting_arg1,has_impacting_arg2,has_impacting
ADD,20388.0632277414,6.67374925680928e-59,42.7067418169544,0.458923028875657,1.16468803806077,1.66614789727845,NA,0.609966851014332,0.455195506814143,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
ADDMOD,19186.0302340154,2.03400554445116e-70,564.587236871697,1.01659201540598e-28,1.7072324130612,1.77099404800556,2.1348729226923,0.224266692261489,0.228016170405988,0.206431391722997,92.2132401580401,0.0202311595862526,FALSE,FALSE,FALSE,FALSE
AND,16485.923285431,0,30.4298238283077,1.07343194627854e-108,0.00560995804303691,-0.0232610960623493,NA,0.897561499612487,0.624942964327612,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
BYTE,16492.1566345275,0,25.8057644774986,6.12346352960806e-62,-0.565748393223061,0.011490939115509,NA,1.92237709322165e-23,0.829012451207967,NA,NA,NA,TRUE,FALSE,FALSE,TRUE
DIV,21374.4406061201,4.65856740253727e-46,41.2647290178254,0.556038308913005,1.83128122125223,0.707169196275412,NA,0.594063869688251,0.830152464592013,NA,66.6661728937236,0.387226374252428,FALSE,FALSE,FALSE,FALSE
EQ,16586.7222437081,0,32.1460353623288,7.95015974381626e-15,-0.214002539019136,-0.23740415481455,NA,0.185306368850652,0.158822983650205,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
EXP,21395.4330559389,0.0175229817809944,19.1455944849485,0.966960107181629,26.0602786076286,144.047157989398,NA,0.184123439660067,1.69269325282605e-13,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
GT,16528.2425654538,0,33.4701714123854,5.22125539927653e-100,-0.332686045329813,-0.314414487747382,NA,7.29735801395574e-10,2.10515401143956e-09,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
ISZERO,16481.5166504589,0,26.4227259000812,1.53321001940743e-116,-0.699485387533952,NA,NA,8.07542054441791e-38,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE
KECCAK256,7815.86630455197,2.94765496163726e-09,235.946465149586,0.000401027567348065,-0.000115442773257891,1.90608560115262,NA,0.982133668849261,0,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
LT,16559.1870432787,0,32.434996282814,8.53600802623949e-72,-0.323426376330226,-0.255183887096117,NA,2.045379755743e-07,5.82637837009964e-05,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
MOD,18973.0043592337,1.54325096499554e-93,523.441298675151,3.33136454372831e-36,1.99472828411275,2.09323174704289,NA,0.297760408081325,0.270916199570499,NA,83.5762619790989,0.0521376088204136,FALSE,FALSE,FALSE,FALSE
MUL,20681.8415191482,1.6979228087225e-79,7.49832853564146,0.875894687772957,4.56932919430818,4.77386569337585,NA,0.0160153264100735,0.011709541992216,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
MULMOD,18947.2571675406,3.26393991296639e-71,522.583327919847,9.56827972871375e-26,3.88440164584416,2.96786788880548,3.22512077417192,0.00748218378914779,0.0404676883526769,0.0353293928796074,104.374744576415,0.0180934799285382,FALSE,FALSE,FALSE,FALSE
NOT,16475.905801939,0,21.5846511918817,3.05295798474312e-99,-0.0115197474152671,NA,NA,0.787790521513033,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
OR,16440.525083208,0,33.3616915527191,2.01086596370449e-133,-0.0585308861071873,-0.113136912119971,NA,0.157623391768415,0.00608348676051231,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
SAR,16548.1577980746,0,19.7173941447408,8.08776190863261e-41,-0.467988358353225,0.116840167764564,NA,5.61843651789173e-18,0.0225203149666621,NA,NA,NA,TRUE,FALSE,FALSE,TRUE
SDIV,20655.3851415713,9.1027264198434e-51,192.376755368961,0.00250473230984791,1.44875503626344,0.180373442805115,NA,0.660537267540755,0.954535199329035,NA,84.0765663975474,0.245203250405405,FALSE,FALSE,FALSE,FALSE
SGT,16925.2054412413,0,35.4297076736154,5.84835474903594e-06,0.714498252979868,0.74262332627963,NA,0.0321613299347761,0.013474998759779,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
SHL,16506.4121033095,0,24.2770318388883,4.53105818871096e-63,-0.611685287647622,-0.0248731614826445,NA,9.25757998693255e-31,0.632841065028153,NA,NA,NA,TRUE,FALSE,FALSE,TRUE
SHR,16516.5693469607,0,20.1238999322845,1.04934325719754e-52,-0.465457953803522,0.159293183161111,NA,4.65995488771128e-18,0.00156951931011746,NA,NA,NA,TRUE,FALSE,FALSE,TRUE
SIGNEXTEND,16460.7774499407,0,22.0574025106229,5.92783157036447e-68,-0.355845281296125,-0.0261351689375319,NA,2.70439735826923e-15,0.561445236959494,NA,NA,NA,TRUE,FALSE,FALSE,TRUE
SLT,16953.8272476566,0,39.0864988165742,6.59676771846438e-09,0.536344068686891,0.736652242442144,NA,0.0306868051164822,0.00214303534335277,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
SMOD,19128.1623507244,1.25285143951642e-101,536.555611545554,3.83057359121269e-41,2.64510359509517,1.33431438666135,NA,0.146380901343602,0.461798773026978,NA,72.5742003165399,0.0795610692145142,FALSE,FALSE,FALSE,FALSE
SUB,19762.8520790331,1.52935393981964e-73,128.624680500433,0.00840645380608624,-1.95658137849773,5.01110057737977,NA,0.308314425591305,0.00890209454473708,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
XOR,16485.1211913595,0,30.2091410792019,1.91757679082302e-118,0.0129670730764856,0.0050382310509353,NA,0.747424208056528,0.901726140826539,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
