opcode,intercept,intercept_p,estimate_marginal_ns,estimate_marginal_ns_p,arg0_ns_raw,arg1_ns_raw,arg2_ns_raw,arg0_ns_p,arg1_ns_p,arg2_ns_p,expensive_ns_raw,expensive_ns_p,has_impacting_arg0,has_impacting_arg1,has_impacting_arg2,has_impacting
ADD,3952.22686781229,0,6.35293824240579,8.89641628371904e-11,-0.0274982783053914,-0.032339771274957,NA,0.467736171531168,0.383632274451508,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
ADDMOD,3960.99771493513,0,3.72775195873843,0.0752361229380066,0.192570266776247,0.154148863168994,0.176012176176632,0.00171290576708615,0.0159017560178395,0.0166709256431988,20.7416421907272,6.63391314596146e-30,FALSE,FALSE,FALSE,FALSE
AND,3906.00783480419,0,6.71019086430217,5.70684811757803e-13,-0.0384038366909125,-0.0340347289060602,NA,0.287323191430494,0.385686707001362,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
BYTE,3950.62262313149,0,6.73977178949828,4.57881889820879e-11,-0.00818689568231854,-0.0604257605278249,NA,0.837374012020372,0.121721260192015,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
DIV,3963.56333571478,0,-0.68061542622822,0.671453360445405,0.336522521764818,0.169352257721071,NA,2.52116247323405e-05,0.0255061019533611,NA,16.3148898846519,5.57676499103959e-19,TRUE,FALSE,FALSE,TRUE
EQ,3940.00658533751,0,6.36664725382799,8.77707993221878e-10,-0.00291290294614627,-0.00485411609103673,NA,0.942868646461307,0.909631369150484,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
EXP,3997.99271516151,2.3052693759579e-132,-11.4038433520655,0.0733064994710059,0.618893590362376,84.5830983861135,NA,0.0213847712257359,0,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
GT,3924.95478269812,0,5.81052026781746,1.07171471876247e-09,0.036748722905985,-0.0191647885757443,NA,0.351083082388256,0.615255918839276,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
ISZERO,3951.67420905009,0,3.84974469417292,2.77158016756292e-08,-0.00781772056801053,NA,NA,0.838089980654795,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
KECCAK256,4493.52556268795,1.63322036947682e-30,208.141794117649,1.99681987863589e-25,-0.000484222221837409,1.66995481884469,NA,0.744358599138753,0,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
LT,3933.1862970227,0,7.49866480797626,1.48654748332551e-13,-0.00526297539746358,-0.0409691922772426,NA,0.893336651683478,0.310032487870214,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
MOD,3933.45915225348,0,3.53017593068234,0.028377000672574,0.227295465922393,0.151085849252346,NA,0.00351913109041323,0.0499124446735084,NA,16.3331748075871,3.55844303946593e-19,FALSE,FALSE,FALSE,FALSE
