opcode,intercept,intercept_p,estimate_marginal_ns,estimate_marginal_ns_p,arg0_ns_raw,arg1_ns_raw,arg2_ns_raw,arg0_ns_p,arg1_ns_p,arg2_ns_p,expensive_ns_raw,expensive_ns_p,has_impacting_arg0,has_impacting_arg1,has_impacting_arg2,has_impacting
ADD,149981.417055324,0,165.846092570102,1.93286966151436e-26,-0.263147206614924,-0.0992719929794085,NA,0.64982021290173,0.861242878354016,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
ADDMOD,150417.804981407,0,32.6631861377995,0.198536149745794,1.53668912457058,1.10661680988564,3.30876335774124,0.0371825562323127,0.147681340404358,0.000164025763185477,106.815674095478,3.30886081888533e-07,FALSE,FALSE,TRUE,TRUE
AND,150965.920371034,0,148.314359527743,1.7004887179792e-24,0.716864651154635,0.125893041755516,NA,0.186360726851577,0.830956157440483,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
BYTE,150424.08567425,0,137.536802867189,1.02823886933441e-20,-0.492058657000344,-0.16598720546872,NA,0.370698914720849,0.758113473426281,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
DIV,151009.368740783,0,54.2186364827836,0.000838871326028264,1.09963762115244,2.94561733265555,NA,0.157964698307113,9.4455250558756e-05,NA,81.4798081553423,5.08366772707816e-06,FALSE,TRUE,FALSE,TRUE
EQ,150118.808958338,0,133.892570148916,5.2173019579784e-20,-0.559370822683431,-0.962952787998669,NA,0.309327965737898,0.0955071374710716,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
EXP,155020.149870607,0.00183161914238053,3739.04669797071,0.144765301018357,103.561976029624,1179.89975952128,NA,0.337646273615064,9.24288584474922e-26,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
GT,150968.494922507,0,111.464264094912,5.41040625448945e-17,0.187835642785293,-0.246845775697218,NA,0.726664074536481,0.631742753441569,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
ISZERO,146158.164842055,0,90.9428357274644,7.42526367591616e-09,0.0203813962917433,NA,NA,0.981257351724885,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
KECCAK256,-212470.600820066,0.166074333135501,66878.4485309163,1.92598467747394e-16,-0.255230617195841,21.0301728452135,NA,0.678117395360744,1.92462314903908e-148,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
LT,150760.199504084,0,112.83453451104,4.85853835480058e-16,0.108957323346173,-0.123278523779084,NA,0.834504947658434,0.819136629863883,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
MOD,150613.87106582,0,96.9542952038263,3.57026244754319e-09,-0.223308337961053,2.53761925533939,NA,0.772959785664303,0.00111417764346363,NA,123.808161924231,9.18312753118467e-12,FALSE,FALSE,FALSE,FALSE
MUL,149350.97259156,0,65.4718074092738,0.00014468625140903,5.37229744442196,6.0854549919171,NA,7.14241784459982e-15,1.97761537257738e-18,NA,NA,NA,TRUE,TRUE,FALSE,TRUE
