opcode,intercept,intercept_p,estimate_marginal_ns,estimate_marginal_ns_p,arg0_ns_raw,arg1_ns_raw,arg2_ns_raw,arg0_ns_p,arg1_ns_p,arg2_ns_p,expensive_ns_raw,expensive_ns_p,has_impacting_arg0,has_impacting_arg1,has_impacting_arg2,has_impacting
ADD,826.058274694199,0,2.98970835835326,0,-9.80198675985764e-05,0.000256525766568948,NA,0.881126952274825,0.688112984942435,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
ADDMOD,825.046310263528,3.39286638830761e-299,8.9836128406901,1.22768474572711e-47,0.044975971943122,0.0716559127155217,0.125828082892141,0.00666352092539217,4.28645935535004e-05,5.29703678057993e-10,9.39301559718884,4.31575900947315e-69,FALSE,FALSE,TRUE,TRUE
AND,819.826069665724,0,3.60391784248698,8.64471178823851e-219,0.000745030903811099,-0.000603975647778419,NA,0.779586834278339,0.833139239912754,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
BYTE,826.351950481959,0,1.89927760187259,4.67844792356389e-294,-0.0167413646711175,-0.000115039609942031,NA,9.650937170577e-49,0.909426687558605,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
DIV,826.227374594514,0,4.96573193344227,1.26362301082354e-25,0.0920972477182784,0.0636150764809846,NA,6.69685385349235e-05,0.00283578446070345,NA,7.70302925414388,4.79219454014794e-44,TRUE,FALSE,FALSE,TRUE
EQ,826.111097377045,0,2.01156972407612,0,-4.74441309713943e-05,0.000108938857695054,NA,0.945948709529026,0.880316031845958,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
EXP,885.348718845435,0.0423546438943144,-44.1235131946017,0.0475374052453177,2.68502917172781,143.190624232538,NA,0.00500161472192736,0,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
GT,825.066856474555,0,1.46718656910591,0,0.00127377249032499,0.0010682632725373,NA,0.0279865259302545,0.0606602268864617,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
ISZERO,825.746668093728,0,1.14468876864718,0,0.000201678129612986,NA,NA,0.730929412017174,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
KECCAK256,737.240371136624,0.00157278463883099,83.4011363252744,9.2265947700517e-12,0.000204641104882841,1.22672694810777,NA,0.826736991438339,0,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
LT,825.27417454389,0,1.4504535559639,0,0.00126712173517909,0.00123746914058897,NA,0.0138713957058965,0.0197516558137806,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
MOD,825.85402015678,2.52083825581388e-314,4.06623870231539,8.75588022677095e-14,0.0540014193472736,0.118180339241154,NA,0.0350472097752069,4.5085426856839e-06,NA,8.86575164118802,5.27089480458551e-44,FALSE,TRUE,FALSE,TRUE
MUL,816.936618177924,0,11.9984031732529,0,0.000128765926955699,-0.000349001504599899,NA,0.975968661273989,0.935548662662815,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
MULMOD,821.470832988816,1.30075168549222e-188,16.6029201968246,6.14588099135828e-57,0.249065611215165,0.227611458136747,0.181846934049786,2.66917621648584e-17,6.54588663504802e-15,2.12055627289006e-09,12.3796824231597,1.10660167995565e-40,TRUE,TRUE,TRUE,TRUE
NOT,819.632686918706,0,3.57451398454656,1.49464447064442e-256,0.000596096727213367,NA,NA,0.83927490410717,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
OR,818.548855969805,0,3.63226273282322,2.32653145221204e-203,0.000304373891151024,-0.00196261925013927,NA,0.919741489032497,0.51474953999612,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
PUSH32,223.0299592615,2.73171272104564e-257,4.24233871341981,4.96024585605627e-196,0.000729658934945595,NA,NA,0.317002445241781,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
SAR,817.563448412335,0,7.36129789870352,4.49323139504767e-288,-0.0116741260802054,0.00141550467569788,NA,0.00293333582926791,0.714261211841859,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
SDIV,825.651640286105,0,8.31423875000289,1.61426327075907e-73,0.0501457182081277,0.107051438105771,NA,0.0151347076267241,7.37112718282731e-08,NA,8.53526700458444,3.33833708701591e-63,FALSE,TRUE,FALSE,TRUE
SGT,825.290507857187,0,1.68543384026919,0,-0.00382830063912649,-0.00370966471163994,NA,4.00973361633117e-08,4.27878227230586e-09,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
SHL,826.085536667261,0,2.00059333509572,9.24771568298066e-295,-0.00912850443702069,-0.000278847198716607,NA,5.29349115892856e-17,0.798287540039699,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
SHR,825.370712495219,0,1.99638630847255,0,0.000609463990161077,-0.000460779834692828,NA,0.363833061435467,0.482279965770815,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
SIGNEXTEND,826.249771150497,0,1.29346409865762,1.49112784468318e-208,-0.00630989143214277,3.20808100114485e-05,NA,2.05523649403991e-09,0.976316987020433,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
SLT,825.425824059094,0,1.64685473668934,0,-0.00293809566026326,-0.0027748765090401,NA,1.60490260951061e-06,2.25956816141395e-06,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
SMOD,826.375385190128,0,9.15942225364907,1.87849688542981e-67,0.102111404792019,0.0664034558863579,NA,1.0618261829171e-05,0.00358040224268155,NA,7.32375305040672,1.83185922987839e-39,TRUE,FALSE,FALSE,TRUE
SUB,825.796059133339,0,3.00994690599804,0,-9.22248954069731e-05,-0.000210698819523369,NA,0.882331243800345,0.732042948049174,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
XOR,820.004716162762,0,3.58485425146806,2.39389965097091e-234,0.000963376969720251,7.16189666707354e-05,NA,0.703436237319294,0.977600201826161,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
