opcode,intercept,intercept_p,estimate_marginal_ns,estimate_marginal_ns_p,arg0_ns_raw,arg1_ns_raw,arg2_ns_raw,arg0_ns_p,arg1_ns_p,arg2_ns_p,expensive_ns_raw,expensive_ns_p,has_impacting_arg0,has_impacting_arg1,has_impacting_arg2,has_impacting
ADD,12094.8354914522,6.98668317483325e-300,39.1283549260781,5.30550933686699e-06,0.82868371844352,0.273615433681835,NA,0.0138212012632634,0.404555405214041,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
ADDMOD,12124.4445359618,2.46962001605167e-228,96.0611967486373,1.488437287556e-15,0.451266017330702,0.600312967651229,-0.291323643941902,0.187867107942527,0.0931410336869361,0.478220005163154,23.7437643821092,0.0143193499973409,FALSE,FALSE,FALSE,FALSE
AND,12166.474778834,0,14.7403794894537,0.0502567774028576,0.191579552097128,-0.0595892451484826,NA,0.520059197797485,0.853966370460794,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
BYTE,12043.0423708087,0,7.56520636143533,0.308852033067896,0.0450131041025251,-0.00198934563304768,NA,0.878494773860576,0.994508451378643,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
DIV,11918.7132205093,4.33264474445056e-274,50.8554316496429,8.30344260487679e-08,0.585354435185666,0.336261491786816,NA,0.206717817254348,0.446501298111037,NA,6.87633090414935,0.506493702222969,FALSE,FALSE,FALSE,FALSE
EQ,12176.93389014,3.16429283535485e-319,19.6475704307744,0.013094066771717,0.401808346492872,0.728757089730698,NA,0.202269900259289,0.0278478124673403,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
EXP,21454.8143515819,0.0412790237051379,2051.67557330669,0.000223914051031386,-60.3389659472797,626.962636648875,NA,0.0104169389764734,4.21452200902891e-100,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
GT,11719.6422492379,7.40123297503379e-303,57.8261464011461,3.64199997711455e-12,-0.789402103487533,-0.0711417846370783,NA,0.0214251944908009,0.830020746105678,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
ISZERO,11920.704398936,0,34.1372103892165,1.00723231970257e-09,-0.701009720791048,NA,NA,0.0230106448658472,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
KECCAK256,19931.660590908,0.0710770676029472,2089.04824198547,0.000264316965438311,-0.0579024100949598,1.91115063064099,NA,0.192397121781832,1.00362069049317e-191,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
LT,11805.4105550276,8.72154147502629e-303,49.8757579953347,2.21355761152318e-09,-0.205692545866191,-0.530497823886814,NA,0.525909882842745,0.112089098258975,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
MOD,11850.5164676483,1.15113387813973e-256,53.2041939307308,1.77664879735827e-07,-0.753890190184176,1.0424626098118,NA,0.121663963910568,0.0315749928684881,NA,42.6062729492603,0.000130944597177748,FALSE,FALSE,FALSE,FALSE
MUL,11744.7442788102,2.89308352943229e-291,131.099368599479,1.15730423520894e-44,-0.549595772623916,0.059253779798799,NA,0.105883642848922,0.861753620817616,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
MULMOD,12209.9740164645,3.55535535000424e-181,274.761655774997,1.52638812084615e-60,0.135025889031787,0.544913231887109,1.09290070170575,0.765776804190549,0.228322091249883,0.022779827044925,41.7406200373994,0.00257515920013211,FALSE,FALSE,FALSE,FALSE
NOT,12061.8737215309,0,19.71507332583,0.000912507456951179,-0.113118200535266,NA,NA,0.710561392878465,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
OR,12207.7139707383,0,8.40127339125968,0.27856638373014,0.667689783010879,0.0635452674103966,NA,0.0329327131071171,0.8385781413761,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
SAR,11472.2422510421,9.57051317423121e-293,50.1486132754556,2.77747427426358e-09,-0.482883180160201,-0.587133842805248,NA,0.128590639380164,0.0614859400238137,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
SDIV,11686.1708004741,8.7108346640679e-264,84.691712869918,1.41412013596752e-17,0.862374952826495,-0.212667028313099,NA,0.0858294401504639,0.658151051843204,NA,6.88925126641821,0.530673149056785,FALSE,FALSE,FALSE,FALSE
SGT,12060.9913780025,6.68617225237036e-306,53.6973204446554,1.8331936560993e-10,0.237690283554665,-0.281537391906823,NA,0.500709464334786,0.378057126798438,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
SHL,12188.8638672923,0,44.7514196082424,6.64247448281138e-09,0.0159247328611162,0.159202377106102,NA,0.957701003240728,0.610011967686875,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
SHR,11996.221564638,0,51.5316882149844,5.62342077130977e-12,-0.613819881675024,0.066707398533155,NA,0.0558617143261978,0.832245693853166,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
SIGNEXTEND,11750.4666372202,0,2.92517001475474,0.620784147834611,-0.128866421068122,-0.135980638121718,NA,0.577243118132696,0.572566333776842,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
SLT,11975.9825581624,1.2940566670781e-292,66.0023129505536,1.29034116797458e-13,-0.05369927575505,-0.58235896267014,NA,0.869261565534928,0.0642553637663201,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
SMOD,11957.4424188431,3.04669639396121e-261,67.6994364202975,2.52182619319408e-11,1.21920840536584,0.486672232402018,NA,0.0136389046642522,0.323938883335092,NA,16.7711904847587,0.132384230833264,FALSE,FALSE,FALSE,FALSE
SUB,11586.5932556433,2.00523920528883e-291,60.2835429123773,3.05345531747458e-12,-0.230358373748542,-0.0183040087031759,NA,0.490415548594238,0.956072821789027,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
XOR,12125.7131377916,0,11.5890994221883,0.12503578079748,-0.216445568681744,0.344801228617202,NA,0.470150948297929,0.255052921637615,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
