opcode,intercept,intercept_p,estimate_marginal_ns,estimate_marginal_ns_p,arg0_ns_raw,arg1_ns_raw,arg2_ns_raw,arg0_ns_p,arg1_ns_p,arg2_ns_p,expensive_ns_raw,expensive_ns_p,has_impacting_arg0,has_impacting_arg1,has_impacting_arg2,has_impacting
ADD,645.026690550967,0,3.95351485259005,1.62770641004359e-71,-0.00287920141543744,-0.00237136998306364,NA,0.701532564637737,0.74675820155428,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
ADDMOD,644.290197055054,6.8296563481504e-53,6.62572002488052,0.000757569313507227,0.580477021157034,0.62049782285192,-0.468038951176291,1.95099014993087e-22,1.87577804993189e-23,2.11735585023414e-11,15.0256014980549,2.38025272834814e-19,TRUE,TRUE,TRUE,TRUE
AND,649.022022307724,0,3.61794213428319,1.67626923028432e-79,0.00720532310256636,-0.00530624322383092,NA,0.26668700251935,0.450834054617734,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
BYTE,646.733970689506,0,3.00341103442557,5.19713366787539e-50,0.000810818662821264,-0.000196297480295576,NA,0.911016600833441,0.977857423937188,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
DIV,644.721672755771,9.92981293882739e-212,3.64210042075807,9.60569335868711e-08,0.344511641826086,0.0855931054455454,NA,4.16085533082355e-23,0.00725799571108773,NA,5.94503707139942,8.26986043976559e-15,TRUE,FALSE,FALSE,TRUE
EQ,645.894796458797,0,2.40214294874144,1.41563558776852e-45,-0.00820926332885284,0.00817227267837644,NA,0.184227833186312,0.208020048032554,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
EXP,637.053786386341,4.70298000732164e-48,9.01236690591166,1.37213577875904e-05,0.182207795471026,35.0082378467703,NA,0.038236266820914,0,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
GT,656.86625529024,0,3.31648878759939,8.88768510001418e-53,0.0210690514340918,0.0208794764541341,NA,0.0100287852364829,0.00868693529182038,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
ISZERO,648.943327650161,0,3.23442498138746,3.684616262119e-114,0.000983385670381493,NA,NA,0.875659793076699,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
KECCAK256,976.282561873164,0.000160562609995707,130.510338784781,3.05124024043869e-21,0.000347509194075172,1.71860079779541,NA,0.73706625096356,0,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
