opcode,intercept,intercept_p,estimate_marginal_ns,estimate_marginal_ns_p,arg0_ns_raw,arg1_ns_raw,arg2_ns_raw,arg0_ns_p,arg1_ns_p,arg2_ns_p,expensive_ns_raw,expensive_ns_p,has_impacting_arg0,has_impacting_arg1,has_impacting_arg2,has_impacting
CALL,24176.2496328981,1.55788893058136e-67,1265.18838831206,5.36827209938468e-69,-0.307926565490964,-0.251067013142153,NA,0.901470297021364,0.922022340275802,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
DELEGATECALL,25767.4260674111,2.05937691290304e-44,1231.49017610458,5.82899458552651e-38,1.59624498525584,-2.17797762202986,NA,0.650581784997702,0.551321409380644,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
LOG0,7617.51987267761,3.81239362536013e-122,8.52505919781002,0.504162692790286,-6.57738766756496e-06,0.0572507146669334,NA,0.994866815594336,2.85821576020004e-241,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG1,11093.2418486847,2.14174016157848e-157,49.1939056788775,0.00137421910448225,0.00030590015615061,0.0537194609786736,0.0514058001488772,0.754235745458712,1.52065414356718e-219,0.923578768448412,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG2,21362.4987516867,2.76446544714619e-290,5.23776705224363,0.735071179875815,0.000132143698702409,0.0572237852862643,0.0991236627081599,0.888985660651917,2.8241876190232e-236,0.842674671802441,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG3,23082.1188312382,0,13.0514063099829,0.22752961975457,-6.2635945651418e-05,0.0567066005392011,-0.0511842561847346,0.92821565372873,4.01695716301857e-304,0.887226086322815,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG4,23567.1061567467,0,27.8536507937754,2.20059014809236e-06,-0.000388399761103305,0.0567798817343291,0.0444510916416209,0.327284271107395,0,0.825611441053989,NA,NA,FALSE,TRUE,FALSE,TRUE
MCOPY,7387.29587017275,1.27600755626494e-91,44.0278662550321,0.00547746237920086,-0.200070782585262,-0.00329447393778353,0.676542137857723,0.693209092952908,0.994817855275968,0.205878691109944,NA,NA,FALSE,FALSE,TRUE,TRUE
MLOAD,8205.80752941682,0,6.9169275634553,3.33773505086229e-12,0.000107803508249385,0.0437643990225055,NA,0.929717847992534,0.266929374156389,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
MSTORE,12338.8323315755,9.35052831218476e-318,33.699504907959,1.03077861187737e-05,0.000920489937174151,-0.0833732432498454,NA,0.924614269469423,0.790456276889315,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
MSTORE8,11967.5224823982,0,15.1081225639484,2.59357512170119e-51,0.00112152845399098,NA,NA,0.468093155593261,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
RETURN,148440.6988839,2.39189964664742e-240,301.605047641942,0.0140208751766756,0.053874931678021,-0.0102488824044317,NA,3.31213972080381e-08,0.301792591461732,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
RETURNDATACOPY,15414.2513301367,0,13.2423119255529,0.149227613055359,-0.000584173832182556,0.000822576018111045,0.139293873899347,0.338695284200559,0.167016051704128,0,NA,NA,FALSE,FALSE,TRUE,TRUE
REVERT,151209.796037838,7.82682906045749e-225,-677.827120131583,9.06993340088734e-07,0.049766409750437,-0.00386423633902951,NA,1.73515945982472e-06,0.717498891520847,NA,NA,NA,TRUE,TRUE,FALSE,TRUE
STATICCALL,23898.9184765383,8.35221998743956e-62,1158.93726546681,7.33231537225035e-56,-2.00064676818414,-3.85591921109617,NA,0.400587537964117,0.141863232589056,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
