opcode,intercept,intercept_p,estimate_marginal_ns,estimate_marginal_ns_p,arg0_ns_raw,arg1_ns_raw,arg2_ns_raw,arg0_ns_p,arg1_ns_p,arg2_ns_p,expensive_ns_raw,expensive_ns_p,has_impacting_arg0,has_impacting_arg1,has_impacting_arg2,has_impacting
CALL,8769.99894842489,0,390.240192318048,0,0.023740723809138,0.129139693512702,NA,0.872730727202805,0.397832115607713,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
DELEGATECALL,8520.35049660767,0,283.029295387373,8.37135850440167e-307,0.13409413302999,-0.118062162833457,NA,0.362492780266269,0.441375788899273,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
LOG0,3896.4147846706,2.35996425531219e-08,213.787000364937,2.30726089812567e-09,-0.000665584746652168,0.229309510679786,NA,0.812885893223655,0,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG1,3748.36409252583,5.93557170253475e-09,257.748656274177,1.77776195251079e-14,-0.00264440465900296,0.222391243457816,0.922900592735812,0.205621167236067,0,0.420146603988704,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG2,5812.18207333358,8.90214930053468e-13,233.41353639285,1.84706329088004e-08,0.000668662537151475,0.226236993072637,0.668103304825791,0.788574153060411,0,0.611361658593258,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG3,6026.32795389598,1.23439421590733e-16,246.712704392532,3.05382823997637e-11,-0.00154855376628531,0.224447539878192,1.20811240219237,0.510307159395105,0,0.317352392438065,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG4,5854.0069492405,7.37932804290608e-21,240.978129875988,3.82717431996942e-14,0.00236490293255978,0.227542674332054,0.530733582356357,0.262376427659264,0,0.62182659344937,NA,NA,FALSE,TRUE,FALSE,TRUE
MCOPY,3678.48851203726,0,18.2356835454405,4.93781618617682e-31,0.026105732498939,0.00603886478170128,0.236386240365476,0.587254060534528,0.899759492549638,3.30659420176351e-06,NA,NA,FALSE,FALSE,TRUE,TRUE
MLOAD,4474.62520079479,0,11.1368739391658,8.05156687454076e-20,-0.0015108979119699,0.0126137043466862,NA,0.310045442787785,0.790292523109807,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
MSTORE,3679.96424291889,0,46.7165727594255,1.43631624854627e-153,-0.000603937346102775,-0.0224759766346374,NA,0.709707070731539,0.665468667699362,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
MSTORE8,3704.95371474786,0,9.97149194465336,1.12239688385146e-34,0.00173347266616322,NA,NA,0.183800824715448,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
RETURN,19009.6778115659,4.21578030714526e-08,310.747374324428,0.0792376148668266,0.848054091034307,0.00691715319250748,NA,1.87871806445524e-259,0.627682384874269,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
RETURNDATACOPY,24889.3479130319,2.42639070597818e-284,67.0542437345854,0.000347592552971864,0.000160142453321708,0.000428887081359614,0.0159830082739684,0.897341272371337,0.723468544868425,2.89968404125468e-36,NA,NA,FALSE,FALSE,TRUE,TRUE
REVERT,21603.7079621615,7.96002773611962e-12,556.730765842593,0.00053203321579886,0.861256888396914,0.00960512828105883,NA,1.19145843212847e-288,0.441357031906906,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
STATICCALL,8554.31677811316,0,333.356741980037,2.76676761671098e-322,-0.0941661778280085,0.055726501434187,NA,0.527391098607849,0.73118306103552,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
