opcode,intercept,intercept_p,estimate_marginal_ns,estimate_marginal_ns_p,arg0_ns_raw,arg1_ns_raw,arg2_ns_raw,arg0_ns_p,arg1_ns_p,arg2_ns_p,expensive_ns_raw,expensive_ns_p,has_impacting_arg0,has_impacting_arg1,has_impacting_arg2,has_impacting
CALL,334421.430128488,7.87423905867666e-147,49748.4404726397,0,-0.135862903955607,4.64358338138508,NA,0.994369061058121,0.815901271663985,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
DELEGATECALL,333912.42176086,5.63419780307698e-151,48373.5138248553,0,-8.84309259065137,8.80083013580956,NA,0.643594431990045,0.659376782943775,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
LOG0,73326.7702578374,0,174.656242291655,5.21905195545023e-55,-0.000620340546651094,-0.010604269610619,NA,0.420026322975779,4.7829858428016e-36,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG1,95327.9201302781,0,397.211301823334,1.43836871409692e-37,0.000346500225041001,-0.0247067261608437,-1.30970182627112,0.844953269929673,1.30594783842001e-30,0.180096969206481,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG2,188733.465513611,0,541.401609195905,9.2973516489713e-26,0.000391227500325651,-0.0399606091105537,-1.42726657572072,0.893881635076988,1.02367562998481e-30,0.353486965805454,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG3,206166.537976257,0,691.999057198148,9.11657634744509e-36,-0.0015692503852578,-0.0561807856209739,1.70571590046974,0.624875030166226,6.93869109236978e-46,0.301649640534495,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG4,218816.213639606,0,1179.17305723544,4.77922289188448e-39,-2.76960280008688e-05,-0.0941056714471274,0.987821339384921,0.99607974964557,1.04488357200425e-44,0.732438657987042,NA,NA,FALSE,TRUE,FALSE,TRUE
MCOPY,75087.0579742304,0,1258.24872460198,4.41771150847752e-108,-0.140919100132693,-0.147238588320834,-0.317354744317826,0.924105779432357,0.920167420012317,0.83704415996262,NA,NA,FALSE,FALSE,TRUE,TRUE
MLOAD,98601.8757367761,0,815.636688842955,8.86151822990022e-279,0.0048347420280603,1.38852550072743,NA,0.741996054058327,0.0037859044915341,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
MSTORE,106483.285912,0,2085.68208443741,0,-0.00146908044655254,8.59998073601201,NA,0.956971451174402,2.74280927371771e-20,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
MSTORE8,109039.011397229,0,549.474172836179,0,0.0120155852638006,NA,NA,0.255665637729056,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
RETURN,254056.91811238,0,-1.53901080774587,0.949804999240729,-0.00208547569111875,0.000371953209013677,NA,0.274617870145709,0.850537080609133,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
RETURNDATACOPY,93394.5834029445,0,942.546382061317,4.81654697348801e-310,-0.000958587981681951,-0.00013173930292593,0.00901298507599323,0.234861315013587,0.866233060432649,1.90840983001657e-28,NA,NA,FALSE,FALSE,TRUE,TRUE
REVERT,254271.092694212,0,-19.3471416461571,0.387399559366508,0.000259984695864398,0.00245527061148182,NA,0.879797825595416,0.158380809739088,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
STATICCALL,331145.88898393,1.42089645852952e-128,48802.7298252677,0,-2.97583791999541,-4.17604845691176,NA,0.880001537164405,0.846466492188797,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
