opcode,intercept,intercept_p,estimate_marginal_ns,estimate_marginal_ns_p,arg0_ns_raw,arg1_ns_raw,arg2_ns_raw,arg0_ns_p,arg1_ns_p,arg2_ns_p,expensive_ns_raw,expensive_ns_p,has_impacting_arg0,has_impacting_arg1,has_impacting_arg2,has_impacting
CALL,225.281521332448,0,-2.81443895670411,2.202508470503e-272,0.000319323568341171,-0.000495289497252396,NA,0.845218148603268,0.769433446755103,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
DELEGATECALL,215.840519440556,0,-2.8554819797617,2.56325991101842e-248,0.000688876329541482,0.000277097703142317,NA,0.710606251140865,0.885137309934764,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
LOG0,532.039708416071,3.04502814451256e-05,-8.39770379614296,0.196290823832966,-0.00109259422264229,0.219413278594196,NA,0.0359971135757946,0,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG1,656.55894551944,0.000292709622299245,8.95094631511663,0.334518461021556,-0.000135148666521802,0.218224474960024,-0.121199197924096,0.818497734257642,0,0.708994484414783,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG2,1418.47203301497,3.97736878490396e-17,-20.4713727096155,0.0140667760639588,-4.25107649295715e-05,0.221120376893242,-0.266415855787504,0.932550557547093,0,0.320079713919616,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG3,1600.19078207629,3.68621300266569e-11,13.7463672659767,0.260679382553803,-0.000764289845018049,0.218019538172312,0.0796517804907845,0.331555418863935,0,0.843967350971494,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG4,1624.84166857989,4.53049138632948e-12,31.6580381680429,0.0073374998621869,-0.00088419084473205,0.218135650844579,-0.261890039885456,0.265661172253398,0,0.517450881286759,NA,NA,FALSE,TRUE,FALSE,TRUE
MCOPY,538.922742380698,0,4.86961270010241,3.14334140229223e-155,-0.000818192714989583,-0.00609783825617809,0.132971547970164,0.847591283610831,0.147568270156611,3.17816072912973e-119,NA,NA,FALSE,FALSE,TRUE,TRUE
MLOAD,755.047197924623,0,1.75246817944618,1.41278373508566e-160,7.76674305923053e-05,-0.00116807906548498,NA,0.182042230011225,0.529846981034861,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
MSTORE,666.267462089291,0,2.40093421807229,9.0112056867114e-217,0.000150834365827157,0.000288175588102363,NA,0.0104719477690737,0.879142295213333,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
MSTORE8,668.475014940906,0,1.78432663815529,2.35812573516618e-149,-4.27925435938854e-05,NA,NA,0.617071083584648,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
RETURN,245.539233864611,0,-0.0601003357228308,0.00202391725207156,5.61992288022504e-07,-4.88293056551683e-08,NA,0.712971542179416,0.975087640016044,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
RETURNDATACOPY,1993.41412792424,0,8.6542934155612,8.18917706217521e-24,1.2675885855192e-08,4.00218723045971e-05,0.00513375618147559,0.999813380891911,0.452455245350302,0,NA,NA,FALSE,FALSE,TRUE,TRUE
REVERT,245.493959979139,0,-0.0591836822575372,0.00218783004090314,-2.17147197212434e-07,3.37958918425113e-07,NA,0.882617651796504,0.822645800186341,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
STATICCALL,215.611533799731,0,-2.85827073948937,1.5730221126949e-238,0.000442074023220026,0.000592099019927413,NA,0.804516638024236,0.762941794862403,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
