opcode,intercept,intercept_p,estimate_marginal_ns,estimate_marginal_ns_p,arg0_ns_raw,arg1_ns_raw,arg2_ns_raw,arg0_ns_p,arg1_ns_p,arg2_ns_p,expensive_ns_raw,expensive_ns_p,has_impacting_arg0,has_impacting_arg1,has_impacting_arg2,has_impacting
CALL,11065.0587563736,0,427.45286623985,0,0.0283661514718369,0.149378511373233,NA,0.846072006360976,0.322328569014559,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
DELEGATECALL,10907.7717090759,0,327.761676596282,0,0.0510705610768523,0.3580003811429,NA,0.707288349447388,0.0113979484339821,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
LOG0,41780.6258194859,9.08556038688479e-90,-1082.73858533754,2.44415741207933e-30,-0.00171778433304381,0.221549521365403,NA,0.811060828066481,1.80738322946344e-128,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG1,42131.9362891033,3.61138226644081e-69,-1045.38440153443,6.61018829265904e-21,-0.00046324377055695,0.218251587491649,-1.03583711127554,0.945721290543951,1.14345794839719e-120,0.781359621055474,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG2,50787.0332021156,1.62534450225758e-64,-1312.38963327168,1.14078631115086e-20,-0.000430836731464152,0.22082203821331,-1.17985750100453,0.958412643429875,7.72573230563074e-92,0.78526727643585,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG3,52369.7101463559,3.39768788804036e-72,-1366.52379503406,9.1737889636523e-24,-0.00164747075261326,0.21918812250694,0.0381958625579605,0.844067662569805,1.89208885699651e-91,0.992933131027169,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG4,52239.4344558499,1.10150515453508e-79,-1387.85008705639,1.59777508234354e-27,0.00321337834170956,0.222747112527347,0.433475427875548,0.69678021008649,1.55421296011856e-94,0.917859284429404,NA,NA,FALSE,TRUE,FALSE,TRUE
MCOPY,49060.836095457,0,117.594916775238,1.61972351794107e-103,0.0771311698420317,-0.240811690608665,1.52355914819354,0.587792284036583,0.0882997481543453,1.30043734814541e-22,NA,NA,FALSE,FALSE,TRUE,TRUE
MLOAD,53302.1135078254,0,61.4670880351422,4.57667457376532e-61,-0.0004962668753893,0.0532454652354214,NA,0.905541874009546,0.691575980964369,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
MSTORE,49516.8519498314,0,71.9942722150182,5.45358607954104e-91,0.00584904220479483,-0.0110214351429693,NA,0.119429650230545,0.92664408918036,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
MSTORE8,49387.6027505778,0,55.9446769377332,9.89825997785961e-95,0.00253112267068769,NA,NA,0.505268495038411,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
RETURN,668577.301798015,0,1005.50908625939,0.0080121315792318,0.89404559021431,-0.019560536723456,NA,5.09232972703514e-122,0.521897751478067,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
RETURNDATACOPY,65042.090950561,0,101.77083142107,0.000323965778046526,0.00225271740313097,-0.00067267108571053,0.054852690610249,0.2275475799322,0.714333769711038,9.77078035165907e-123,NA,NA,FALSE,FALSE,TRUE,TRUE
REVERT,684991.65496068,0,2045.44419061592,5.39218617461905e-08,0.911148400470895,-0.00663575908985112,NA,1.20254130617899e-131,0.817361036332493,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
STATICCALL,10911.3243340363,0,371.361725809783,1.27945447132355e-315,0.250388723764959,0.0862844019766784,NA,0.140049749510378,0.642864865033206,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
