opcode,intercept,intercept_p,estimate_marginal_ns,estimate_marginal_ns_p,arg0_ns_raw,arg1_ns_raw,arg2_ns_raw,arg0_ns_p,arg1_ns_p,arg2_ns_p,expensive_ns_raw,expensive_ns_p,has_impacting_arg0,has_impacting_arg1,has_impacting_arg2,has_impacting
CALL,45420.8846431175,0,2423.35254709896,0,0.0742703199965399,0.0240282039349507,NA,0.933842836132956,0.979350445073109,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
DELEGATECALL,44411.7583881312,0,2454.99996034924,0,-0.187704802305776,-0.323394084501394,NA,0.842384640700014,0.740653129735594,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
LOG0,13950.0901525149,1.04180464573138e-254,201.204040605834,1.51879326205981e-52,9.67018489923598e-05,0.0231253680831159,NA,0.9196465028074,1.46911195798969e-92,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG1,13445.7393723104,2.46896302936949e-197,187.755584589842,4.2096283748403e-32,0.000957732765839387,0.0260867238084948,0.355274140294628,0.312802123917874,7.30009616881201e-97,0.494963434696422,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG2,15400.5117373486,2.73441161583452e-125,224.731925263731,1.6397098413717e-17,-0.00278124437075262,0.0350573855750356,-0.491296683946183,0.0752452581516281,2.2134535501224e-71,0.549394364387699,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG3,15307.8834351235,4.53448398314015e-140,214.237496983677,4.54858142064199e-19,0.00295682167855602,0.0366524441292421,-0.574857230592725,0.047844659097862,7.32400174447527e-84,0.454625404571264,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG4,14501.0677205172,1.11481323354377e-124,242.113959275849,2.18865970841741e-23,-9.69704527813396e-06,0.0417281391684929,1.27379082121576,0.995054259788118,1.65523833691519e-89,0.118077412989167,NA,NA,FALSE,TRUE,FALSE,TRUE
MCOPY,13334.3264918205,1.11652443863339e-283,174.849845056929,1.55728803307479e-55,-0.266335976474621,0.247695273478675,0.787169856307545,0.402303174700196,0.432740939806303,0.0186036513111721,NA,NA,FALSE,FALSE,TRUE,TRUE
MLOAD,14775.2740920536,0,128.444993232435,1.6883273746798e-42,0.00375476960248298,-0.717291684624534,NA,0.730110895297064,0.0384716744545686,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
MSTORE,12209.0172625999,3.92753894614543e-292,68.9533403304793,3.8181427206497e-14,4.7682898113707e-06,-0.284724059355882,NA,0.999662776083591,0.431005357872373,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
MSTORE8,12385.0236075135,0,102.546844683295,1.21435860603826e-86,-0.0104099564982648,NA,NA,0.159586903191358,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
RETURN,135366.783582689,0,188.311136327671,1.48773078318995e-06,0.0859986460291605,0.00139185988257689,NA,1.90011158054932e-112,0.653066722296416,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
RETURNDATACOPY,30036.8068561664,0,179.987791751751,3.7276389820531e-22,0.00133209417508719,0.00100642651141285,0.00629569980019573,0.262968824331891,0.386356141880958,4.59954294129811e-08,NA,NA,FALSE,FALSE,TRUE,TRUE
REVERT,135103.083764614,0,438.440750343367,4.56731810520524e-24,0.085288286157638,-0.00179993919119818,NA,8.36050240945497e-104,0.577888183523342,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
STATICCALL,44653.6423312179,0,2445.9343279531,0,0.206367819161357,-0.182965424929709,NA,0.821943952455526,0.854809161304651,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
