opcode,intercept,intercept_p,estimate_marginal_ns,estimate_marginal_ns_p,arg0_ns_raw,arg1_ns_raw,arg2_ns_raw,arg0_ns_p,arg1_ns_p,arg2_ns_p,expensive_ns_raw,expensive_ns_p,has_impacting_arg0,has_impacting_arg1,has_impacting_arg2,has_impacting
CALL,178.777400226864,0,-0.00657872780938297,0.775268412934621,0.000972012452485846,-0.00214860159848306,NA,0.288875279952435,0.0231889082145536,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
DELEGATECALL,180.327229849738,0,-0.012693742082128,0.586140658008982,-0.000747261974521978,0.000168222882866196,NA,0.418766136419049,0.861021666008484,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
LOG0,-65.2164509021564,0.876295021944914,-205.660792847328,3.77867178524392e-20,-0.00130996824125707,0.166889189873816,NA,0.450494308348725,0,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG1,110.774308270359,0.817004022805317,-189.94433339916,6.29445190758096e-14,0.000672025131974718,0.170230820029026,-0.272926733679211,0.668446662052562,0,0.751088120394131,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG2,292.45808634136,0.646046485418767,-262.422712394314,7.04260307412466e-15,-0.00105805296640566,0.171960778201647,-0.226238820723088,0.598675372384041,5.31278834315804e-315,0.830192661081299,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG3,771.48963412752,0.15719243648154,-239.644635173216,1.22503629546972e-16,-0.00224573253105079,0.171265607737356,-0.216698165724868,0.215085971626517,0,0.815650003429863,NA,NA,FALSE,TRUE,FALSE,TRUE
LOG4,594.658494265523,0.196442791044972,-248.706203897938,1.16536400801039e-23,-0.000119703906894771,0.172438033943685,-0.0101776095687283,0.941058760488399,0,0.990134148763619,NA,NA,FALSE,TRUE,FALSE,TRUE
MCOPY,691.725033935661,0,3.28478567828952,3.81061034647366e-44,-0.00904144265142556,-0.0198057147852622,0.124499261832611,0.197855483880941,0.0047233408431409,6.94737450805775e-53,NA,NA,FALSE,FALSE,TRUE,TRUE
MLOAD,955.384329606354,0,4.49101987081329,1.52855001247166e-88,-0.000206175736442991,0.00532879856342925,NA,0.385822499282217,0.485231161575136,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
MSTORE,835.145527996109,0,1.42797437366093,3.0862621133321e-11,0.000106148121834761,-0.00432156384860916,NA,0.692330918716408,0.615488115261421,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
MSTORE8,833.544395772645,0,0.655361822032067,2.68381387434971e-05,0.000431922029511158,NA,NA,0.103675149922978,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
RETURN,153.916563603491,0,-0.00687246102495678,0.728231444909928,-2.26914659376952e-06,7.30341644291726e-07,NA,0.139950697339817,0.643556402584836,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
RETURNDATACOPY,1106.66391011596,0,-0.0633525825091098,0.560662751572467,-9.71132329823873e-06,4.12086115554768e-06,-4.27753615868593e-06,0.183319752790327,0.55933728714946,0.538139571663571,NA,NA,FALSE,FALSE,TRUE,TRUE
REVERT,154.767220164224,0,-0.0132329420175871,0.543147879142031,7.59432848959367e-07,-1.89771404022413e-06,NA,0.653096890633645,0.263693189733112,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
STATICCALL,179.568903515745,0,-0.0314732869827754,0.199127324178759,-0.000306829513568409,0.000916588962329904,NA,0.729512428691107,0.347557621881961,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
