op,estimate_marginal_ns,estimate_marginal_ns_stderr,env
ADD,37.2754545454546,1.71194128848119,besu
MUL,42.3290909090909,1.42656921476594,besu
SUB,35.3781818181818,1.54960950678157,besu
DIV,30.2854545454545,1.56631096131905,besu
SDIV,34.7054545454546,2.19181975289966,besu
MOD,84.9590909090909,3.60926767243898,besu
SMOD,84.7463636363636,3.4349347545007,besu
ADDMOD,102.93,3.25486273212232,besu
MULMOD,105.895454545455,3.70002227427341,besu
EXP,158.535454545455,4.34537106339658,besu
SIGNEXTEND,61.4281818181818,1.6852233886358,besu
LT,11.7081818181818,2.71232738339433,besu
GT,13.5672727272728,2.59016051564109,besu
SLT,25.1927272727273,1.82118176750787,besu
SGT,25.2009090909091,1.00320144104419,besu
EQ,13.6445454545455,1.07528623903953,besu
ISZERO,7.22272727272727,2.38040815307094,besu
AND,20.05,1.62845718982727,besu
OR,21.1890909090909,1.70417992040217,besu
XOR,20.55,2.04246594238521,besu
NOT,39.4145454545455,2.03426668728676,besu
BYTE,9.17545454545452,1.82352626131669,besu
SHL,51.0227272727273,1.87670155421679,besu
SHR,51.7845454545454,1.6066274299931,besu
SAR,52.6563636363636,0.92649383012708,besu
KECCAK256,353.981818181818,2.57772723265098,besu
ADDRESS,4.30545454545455,1.01673977969505,besu
ORIGIN,4.05636363636363,0.975424185468965,besu
CALLER,4.32636363636364,0.952065995737034,besu
CALLVALUE,4.73,1.04921812683824,besu
CALLDATALOAD,6.92818181818185,1.68858695225233,besu
CALLDATASIZE,9.35818181818182,0.398931539012775,besu
CALLDATACOPY,37.0972727272727,2.97889131729526,besu
CODESIZE,9.5109090909091,0.336414956499918,besu
CODECOPY,52.2254545454546,2.65287646439739,besu
GASPRICE,3.75272727272728,0.903791422178025,besu
EXTCODESIZE,72.0118181818182,2.76060690882467,besu
EXTCODECOPY,87.0636363636364,2.90424975969125,besu
RETURNDATASIZE,10.4554545454545,0.324007136381406,besu
RETURNDATACOPY,46.3263636363636,5.02335280167183,besu
EXTCODEHASH,65.5872727272727,4.34601264325322,besu
COINBASE,3.97090909090909,0.870088392541601,besu
TIMESTAMP,10.4881818181818,0.754885587205392,besu
NUMBER,10.1327272727273,0.469396189129338,besu
DIFFICULTY,7.48727272727272,0.834159590379576,besu
GASLIMIT,9.5009090909091,0.49519444567425,besu
CHAINID,7.51636363636363,0.696136260581644,besu
SELFBALANCE,8.09818181818182,0.280452212553531,besu
POP,8.7509090909091,1.16087915135056,besu
MLOAD,29.0163636363636,1.81843977968016,besu
MSTORE,36.8427272727273,1.12578392236391,besu
MSTORE8,25.32,2.64364331067683,besu
JUMP,6.29090909090909,0.629779794477149,besu
JUMPI,14.4127272727273,2.38728195894727,besu
PC,9.59545454545455,0.282958754177454,besu
MSIZE,10.7945454545455,0.301487588202604,besu
GAS,10.3990909090909,0.550776978525303,besu
JUMPDEST,2.87363636363636,0.324009970484505,besu
MCOPY,32.6309090909091,2.98130236977371,besu
PUSH0,4.55,0.373951549333402,besu
LOG0,32.1445454545455,1.63547447784329,besu
LOG1,68.9136363636364,0.956597841660933,besu
LOG2,101.688181818182,1.00525483431318,besu
LOG3,139.057272727273,2.30198602719945,besu
LOG4,168.317272727273,1.45987278839986,besu
CREATE,4208.72636363636,79.6801269442003,besu
CALL,1092.95454545455,8.17105386178073,besu
RETURN,18.7454545454545,11.1131578463838,besu
DELEGATECALL,695.457272727272,11.5498998481103,besu
STATICCALL,792.821818181818,14.0466457080466,besu
REVERT,187.003636363636,9.61146241389418,besu
PUSH1,10.9,1.44739657355497,besu
PUSH2,14.62,1.38540854665281,besu
PUSH3,14.9372727272727,1.2045177812716,besu
