op,estimate_marginal_ns,estimate_marginal_ns_stderr,env
ADD,4.97272727272726,0.840722064923926,erigon
MUL,7.77636363636364,0.580617764163691,erigon
SUB,4.45090909090909,0.547036762446,erigon
DIV,6.59636363636364,0.486365429997637,erigon
SDIV,9.07636363636365,0.756296131408752,erigon
MOD,6.21000000000002,0.606258982685053,erigon
SMOD,10.3081818181819,0.556342427139145,erigon
ADDMOD,10.1018181818182,0.348974096617775,erigon
MULMOD,23.6190909090909,0.709665592039837,erigon
EXP,33.8227272727273,1.20006867725117,erigon
SIGNEXTEND,11.7290909090909,0.975276372969784,erigon
LT,5.72090909090909,0.520536119053874,erigon
GT,6.43090909090908,0.645436334925922,erigon
SLT,6.52181818181818,0.778066167182607,erigon
SGT,6.5290909090909,0.814605877989755,erigon
EQ,6.57727272727273,0.513699826239432,erigon
ISZERO,4.79454545454545,0.692296851884707,erigon
AND,4.68636363636363,0.634543935050712,erigon
OR,5.34909090909091,0.483667501086209,erigon
XOR,5.72545454545453,0.552675768466927,erigon
NOT,4.24454545454547,0.568754781814232,erigon
BYTE,6.30545454545455,0.59304230334245,erigon
SHL,9.27000000000003,0.958990659703972,erigon
SHR,8.95181818181817,0.671603689054425,erigon
SAR,9.51454545454546,0.601783697019257,erigon
KECCAK256,306.936363636364,2.95539257475058,erigon
ADDRESS,11.7918181818182,0.724532653905151,erigon
ORIGIN,6.85818181818183,0.597532729411611,erigon
CALLER,12.2109090909091,0.503511635359251,erigon
CALLVALUE,2.98636363636364,0.454589391815865,erigon
CALLDATALOAD,27.4690909090909,1.04887643764691,erigon
CALLDATASIZE,4.58727272727274,0.781174505994293,erigon
CALLDATACOPY,30.0618181818182,0.916275448698686,erigon
CODESIZE,4.95636363636365,0.980844822414107,erigon
CODECOPY,17.6318181818182,0.779076411590299,erigon
GASPRICE,2.6609090909091,0.924645267399025,erigon
EXTCODESIZE,75.7254545454546,1.59690862973345,erigon
EXTCODECOPY,82.139090909091,0.996685554056001,erigon
RETURNDATASIZE,5.15909090909092,0.393617000946785,erigon
RETURNDATACOPY,64.5663636363637,12.5840646933212,erigon
EXTCODEHASH,89.5872727272727,2.08119138374095,erigon
COINBASE,6.78,0.551729562051802,erigon
TIMESTAMP,5.68363636363635,0.704908410907825,erigon
NUMBER,4.40636363636364,0.468549037117413,erigon
DIFFICULTY,6.35636363636364,0.465734606401148,erigon
GASLIMIT,4.51090909090911,0.844536049354504,erigon
CHAINID,5.39727272727273,0.765881200223526,erigon
SELFBALANCE,21.1154545454546,0.311495548257146,erigon
POP,3.7890909090909,0.551676300133111,erigon
MLOAD,10.1245454545454,0.612047025207373,erigon
MSTORE8,10.0372727272727,0.753435900767714,erigon
JUMP,18.5963636363636,3.10696844086996,erigon
JUMPI,25.8254545454545,4.78263786806435,erigon
PC,4.47090909090908,0.422302491040953,erigon
MSIZE,4.93727272727273,0.553107840143568,erigon
GAS,4.91545454545455,0.439570601894152,erigon
JUMPDEST,2.37818181818181,0.716503857475853,erigon
PUSH0,3.77363636363637,0.393138930340315,erigon
LOG0,169.572727272727,2.80050238179687,erigon
LOG1,188.881818181818,3.26339184813188,erigon
LOG2,206.995454545455,3.6455839544778,erigon
LOG3,225.69,2.1332003014651,erigon
LOG4,246.41,1.75714725706525,erigon
CALL,392.44,5.02548093080245,erigon
RETURN,42.2290909090909,4.17438905313608,erigon
DELEGATECALL,278.067272727273,4.03989794305082,erigon
STATICCALL,331.874545454545,4.00391676923354,erigon
REVERT,65.2209090909091,6.70575654872182,erigon
PUSH1,6.0309090909091,0.624357447478783,erigon
PUSH2,8.23363636363637,0.554012908721722,erigon
PUSH3,8.34818181818181,0.787670776736864,erigon
PUSH4,8.47,0.647628363881876,erigon
PUSH5,9.14727272727275,0.507095294989198,erigon
PUSH6,8.28454545454547,0.623044673221846,erigon
PUSH7,8.57545454545454,0.508138629559219,erigon
PUSH8,7.86,0.604783806586211,erigon
PUSH9,8.72,0.750994198713531,erigon
PUSH10,7.47000000000001,0.65082916669742,erigon
PUSH11,6.97272727272727,0.6066830137355,erigon
PUSH12,7.80363636363636,0.541280663480125,erigon
PUSH13,7.64363636363635,0.682972490898535,erigon
PUSH14,8.41818181818183,0.56534930327254,erigon
PUSH15,8.1490909090909,0.480547590925362,erigon
PUSH16,7.21363636363637,0.476881032150167,erigon
PUSH17,8.76090909090909,0.497449048200472,erigon
PUSH18,7.97727272727274,0.492796129968232,erigon
PUSH19,8.70545454545454,0.360693139473399,erigon
PUSH20,9.40727272727273,0.501717527601235,erigon
PUSH21,9.41363636363638,0.901115266544537,erigon
PUSH22,8.8409090909091,0.590869851066974,erigon
PUSH23,8.91909090909091,0.470339638531478,erigon
PUSH24,8.53545454545456,0.482378081391343,erigon
PUSH25,7.66636363636362,0.359485271240351,erigon
PUSH26,8.74727272727274,0.667290066656066,erigon
PUSH27,8.34181818181817,0.53558958013306,erigon
PUSH28,8.98727272727273,0.615217491610465,erigon
PUSH29,9.09272727272727,0.72355082992796,erigon
PUSH30,9.10454545454545,0.645883695716976,erigon
PUSH31,10.3745454545454,0.713767021430344,erigon
PUSH32,9.01454545454546,0.621547876744339,erigon
DUP1,6.41,0.743976052913975,erigon
DUP2,5.23727272727272,0.751978046589661,erigon
DUP3,5.12454545454545,0.702131805677265,erigon
DUP4,5.34363636363637,0.361353439917132,erigon
