op,estimate_marginal_ns,estimate_marginal_ns_stderr,env
ADD,2.74377272727272,0.095755012125252,evmone
MUL,12.4078672727273,0.177361195206576,evmone
SUB,2.74324090909091,0.0963844621173431,evmone
DIV,12.0255018181818,0.0929862902086026,evmone
SDIV,15.70478,0.100986994651317,evmone
MOD,12.0063545454546,0.0942478870968586,evmone
SMOD,15.5607227272727,0.0957668379846378,evmone
ADDMOD,19.3595145454545,0.0435062133810197,evmone
MULMOD,32.2711227272727,0.0695702662777275,evmone
EXP,51.2177245454545,0.110405165272809,evmone
SIGNEXTEND,2.19442272727273,0.0981963872911999,evmone
LT,1.31551727272728,0.091841826857953,evmone
GT,1.31179272727273,0.0907222054899588,evmone
SLT,1.53360090909091,0.0995072970080649,evmone
SGT,1.53120454545454,0.0996570072596983,evmone
EQ,1.71931272727273,0.100763786741354,evmone
ISZERO,0.926716363636362,0.100874861359814,evmone
AND,4.16521545454546,0.128158200536081,evmone
OR,4.15833545454546,0.128865966885736,evmone
XOR,4.17312636363636,0.127518448438988,evmone
NOT,4.16715181818182,0.135153082607772,evmone
BYTE,1.49818818181818,0.0978787096964689,evmone
SHL,5.97989818181818,0.0946929399462595,evmone
SHR,2.96682363636364,0.100538354528574,evmone
SAR,7.61005727272728,0.148454669199907,evmone
KECCAK256,175.176154545455,0.118396320760023,evmone
ADDRESS,11.7199627272727,0.165789010779993,evmone
ORIGIN,29.9829281818182,0.121429727246786,evmone
CALLER,11.8988027272727,0.218418725902111,evmone
CALLVALUE,7.33417181818182,0.171429846528835,evmone
CALLDATALOAD,1.31200181818181,0.197010350712775,evmone
CALLDATASIZE,1.12889454545455,0.224340482655963,evmone
CALLDATACOPY,4.81585454545455,0.163817024430042,evmone
CODESIZE,1.12103636363636,0.210087135689422,evmone
CODECOPY,3.84966363636363,0.0827185060845049,evmone
GASPRICE,25.60101,0.180001464823904,evmone
EXTCODESIZE,0.313455454545455,0.00387940287501431,evmone
EXTCODECOPY,0.498990000000002,0.0282835258844343,evmone
RETURNDATASIZE,1.07017909090909,0.230774451363871,evmone
RETURNDATACOPY,4.98878181818182,0.161266388792795,evmone
