op,estimate_marginal_ns,estimate_marginal_ns_stderr,env
ADD,-51.4409090909091,4.00606261174479,geth
MUL,13.0045454545455,0.990196899101333,geth
SUB,5.24454545454546,2.00360875065759,geth
DIV,7.80636363636361,0.183765081401036,geth
SDIV,9.57999999999997,0.155562901571251,geth
MOD,7.41090909090908,0.247346988254784,geth
SMOD,9.31545454545454,0.141502822122041,geth
ADDMOD,12.6145454545455,0.260532759247197,geth
MULMOD,22.4263636363636,0.278705356693041,geth
EXP,26.9745454545454,0.387233838802446,geth
SIGNEXTEND,9.00363636363636,0.192967260529769,geth
LT,7.32272727272731,0.187916662849026,geth
GT,7.39000000000001,0.20104844565999,geth
SLT,10.6490909090909,1.17873584055894,geth
SGT,8.03545454545456,0.257272370346335,geth
EQ,7.01090909090906,0.24735441312677,geth
ISZERO,4.50909090909095,0.391134536822464,geth
AND,7.02090909090909,0.199827979282053,geth
OR,7.00909090909088,0.184878288705087,geth
XOR,6.97181818181821,0.229099526854118,geth
NOT,5,0.0955002295681358,geth
BYTE,8.25454545454542,0.243859388348246,geth
SHL,7.91363636363636,0.381634756325984,geth
SHR,8.24727272727271,0.192651023605461,geth
SAR,8.61636363636363,0.208143660214331,geth
KECCAK256,406.541818181818,2.66244610907839,geth
ADDRESS,20.2,0.106008645280453,geth
ORIGIN,6.3109090909091,0.300827753052189,geth
CALLER,11.4536363636364,0.79268111023038,geth
CALLVALUE,4.95727272727274,0.198874473009222,geth
CALLDATALOAD,33.499090909091,1.47615634584964,geth
CALLDATASIZE,5.0518181818182,0.162462399407697,geth
CALLDATACOPY,39.7281818181818,1.28979675365864,geth
CODESIZE,5.30545454545457,0.178382694437924,geth
CODECOPY,26.6372727272728,1.68601711705672,geth
GASPRICE,5.69909090909091,0.441686703636143,geth
EXTCODESIZE,54.4027272727273,1.49153322117285,geth
EXTCODECOPY,75.3336363636364,3.08528679091353,geth
RETURNDATASIZE,4.38909090909091,0.423110611461921,geth
RETURNDATACOPY,6.15818181818178,4.85793287785351,geth
EXTCODEHASH,80.2945454545455,2.01307306802977,geth
COINBASE,7.58363636363635,0.253416689200754,geth
TIMESTAMP,4.66727272727273,0.494159088528203,geth
NUMBER,5.21636363636363,0.487311546772697,geth
DIFFICULTY,7.96545454545453,0.597109351454255,geth
GASLIMIT,5.4890909090909,0.718875512057926,geth
CHAINID,7.87363636363634,0.730766796038811,geth
SELFBALANCE,33.9554545454546,0.811402836955862,geth
POP,6.35181818181819,0.927738593609012,geth
MLOAD,13.0899999999999,2.58387311520553,geth
MSTORE,15.5427272727272,0.643858533247505,geth
MSTORE8,15.7136363636364,1.26344868165123,geth
JUMP,13.0872727272727,1.56076857053253,geth
JUMPI,16.2554545454545,3.06719810642526,geth
PC,4.70545454545455,0.550760722762048,geth
MSIZE,4.15181818181818,0.573018284251313,geth
GAS,5.12181818181817,0.702416398627994,geth
JUMPDEST,4.39818181818181,0.421780301329413,geth
MCOPY,21.6645454545455,1.12249799319194,geth
PUSH0,3.85000000000001,0.658336035842,geth
LOG0,213.440909090909,8.29884021126796,geth
LOG1,235.254545454545,5.49659381963032,geth
LOG2,254.376363636364,5.35003054323902,geth
LOG3,267.572727272727,3.93156681627745,geth
LOG4,278.936363636364,4.66722409106885,geth
CREATE,7374.91818181818,29.0212557231171,geth
CALL,492.700909090909,7.01310002728136,geth
RETURN,24.0081818181816,8.83634721181491,geth
DELEGATECALL,384.894545454545,5.37142205000706,geth
STATICCALL,436.326363636364,6.70211703324202,geth
REVERT,63.0600000000001,3.65110753414571,geth
PUSH1,5.98818181818181,0.155248253458837,geth
PUSH2,9.92090909090909,0.451685040237023,geth
PUSH3,9.98545454545454,0.627109040273716,geth
PUSH4,9.94818181818184,0.507858446833575,geth
PUSH5,9.11545454545454,0.234931754543589,geth
PUSH6,10.0245454545455,0.21998643417562,geth
PUSH7,10.1445454545455,0.187614427893277,geth
PUSH8,10.6463636363636,0.69364020280389,geth
PUSH9,9.09818181818183,0.569404825157606,geth
PUSH10,14.7318181818182,1.07020912282359,geth
PUSH11,9.48727272727274,0.163704811722455,geth
PUSH12,8.77000000000001,0.216124772655458,geth
PUSH13,10.1345454545455,0.240975976992739,geth
PUSH14,9.93909090909091,0.268405316902281,geth
PUSH15,10.4472727272727,0.32586058977259,geth
PUSH16,8.81818181818181,0.502348936126253,geth
PUSH17,10.0145454545454,0.663639407769408,geth
PUSH18,10.1109090909091,0.536931389289548,geth
PUSH19,10.7872727272727,0.212563175938161,geth
PUSH20,9.9681818181818,0.196370884639877,geth
PUSH21,10.1981818181818,0.315791308615167,geth
PUSH22,11.5318181818182,0.301352171575265,geth
PUSH23,11.6990909090909,0.349221750521992,geth
PUSH24,10.5763636363636,0.487276496291771,geth
PUSH25,9.96818181818182,0.27626244160059,geth
PUSH26,10.36,0.197077825798564,geth
PUSH27,9.91727272727272,0.221506445959182,geth
PUSH28,10.2727272727273,0.322934205957521,geth
PUSH29,10.3690909090909,0.283903008567443,geth
PUSH30,10.4963636363636,0.623980821913385,geth
PUSH31,11.1963636363636,0.207376369622205,geth
PUSH32,10.7281818181818,0.185106377476712,geth
DUP1,5.75181818181816,0.152665632101581,geth
DUP2,5.59545454545454,0.0985454359089011,geth
DUP3,5.30363636363635,0.512419135146496,geth
DUP4,5.19272727272728,0.569967376186881,geth
DUP5,4.59636363636362,0.619650957764306,geth
DUP6,5.76636363636363,0.206854753121335,geth
DUP7,5.86727272727273,0.216607111967742,geth
DUP8,6.04363636363636,0.174655899401058,geth
DUP9,6.15454545454544,0.321729143649246,geth
DUP10,5.94181818181821,0.303209643900512,geth
DUP11,6.42818181818183,0.687793279961063,geth
DUP12,5.97545454545456,0.591104163605208,geth
DUP13,5.47727272727274,0.102608315857015,geth
DUP14,5.68909090909093,0.186986149268787,geth
DUP15,5.72,0.177197860388757,geth
DUP16,6.55909090909088,0.949664045763734,geth
SWAP1,6.42454545454544,0.505226221957587,geth
SWAP2,6.21727272727274,0.128821386015488,geth
SWAP3,6.18181818181819,0.14070529413629,geth
SWAP4,7.34727272727271,0.578171653554005,geth
SWAP5,5.83363636363636,0.156555848503473,geth
SWAP6,5.82090909090909,0.372750799947285,geth
SWAP7,6.11272727272727,0.925540271078698,geth
SWAP8,5.88181818181815,0.58024724789254,geth
SWAP9,13.9536363636364,2.07600748329746,geth
SWAP10,4.12090909090907,0.7497970952957,geth
SWAP11,5.11363636363637,1.07671724160314,geth
SWAP12,6.48727272727273,0.309563512726204,geth
SWAP13,7.23727272727274,0.825565949408508,geth
SWAP14,5.83181818181819,0.524005464050188,geth
SWAP15,6.02363636363636,0.119619844734736,geth
SWAP16,6.05909090909093,0.122273759899513,geth
