op,estimate_marginal_ns,estimate_marginal_ns_stderr,env
ADD,63.7152305446889,4.78987061931513,nethermind
MUL,109.610482902754,3.56387092405708,nethermind
SUB,51.673746576099,6.65824109532573,nethermind
DIV,54.6924652071577,2.07170995518009,nethermind
SDIV,91.0273488332041,4.86200845070216,nethermind
MOD,60.7372851478243,6.61723372196215,nethermind
SMOD,96.4999091309401,2.75186875673813,nethermind
ADDMOD,110.954260384235,4.56653752264814,nethermind
MULMOD,314.759716665639,3.98269621125712,nethermind
EXP,462.89037123368,7.86837968877963,nethermind
SIGNEXTEND,50.6303913845182,4.25087879835506,nethermind
LT,39.4073430995098,3.85637686774864,nethermind
GT,36.8179574463145,5.29545128120361,nethermind
SLT,54.6328241147535,2.37363782041076,nethermind
SGT,63.8687992921219,5.16664544696301,nethermind
EQ,46.5909819544748,3.70079867570164,nethermind
ISZERO,23.2960898642453,2.06329642776112,nethermind
AND,19.2725296047669,4.58150486516158,nethermind
OR,18.0504283897669,3.15755560744962,nethermind
XOR,13.674686421664,4.79943472876583,nethermind
NOT,14.7698451528416,4.71702345806556,nethermind
BYTE,42.1764360814441,3.29924005694476,nethermind
SHL,76.9662920138206,3.05088157454092,nethermind
SHR,80.2394451589449,5.94829252906735,nethermind
SAR,89.4368591876812,3.78314990325217,nethermind
KECCAK256,646.119985944637,7.68962129319386,nethermind
ADDRESS,22.9610252082757,2.59815930499593,nethermind
ORIGIN,20.2854986574251,3.70512423252138,nethermind
CALLER,23.5337498130515,2.21154812242606,nethermind
CALLVALUE,15.1883360548255,3.94024219868596,nethermind
CALLDATALOAD,55.5609926983458,3.96274900455635,nethermind
CALLDATASIZE,24.5914311489113,2.15040021202984,nethermind
CALLDATACOPY,144.801103405713,5.45583672690557,nethermind
CODESIZE,25.3648729829059,2.44419109995005,nethermind
CODECOPY,143.378248822106,4.43963897016273,nethermind
GASPRICE,24.1064051768342,2.04931046344204,nethermind
EXTCODESIZE,330.203327345791,8.31214058865947,nethermind
EXTCODECOPY,586.946148233657,10.3889272234392,nethermind
RETURNDATASIZE,34.5066479352101,2.3428340914649,nethermind
RETURNDATACOPY,161.623264660738,9.04076673392096,nethermind
EXTCODEHASH,320.239647204784,8.96647481267032,nethermind
COINBASE,25.7353944882027,3.36195181461126,nethermind
