op,estimate_marginal_ns,estimate_marginal_ns_stderr,env
ADD,1.72,0.404710101553391,revm
MUL,2.48454545454545,0.431312409811806,revm
SUB,2.10727272727273,0.199401307775801,revm
DIV,5.09272727272727,0.274137096800228,revm
SDIV,8.44363636363637,0.147913557760369,revm
MOD,5.05818181818182,0.275308325360595,revm
SMOD,8.67,0.252777227822084,revm
ADDMOD,22.8209090909091,0.155567328689991,revm
MULMOD,12.4527272727273,0.0900851551027175,revm
EXP,23.7890909090909,0.247295007908853,revm
SIGNEXTEND,8.53,0.241815713513642,revm
LT,1.95636363636364,0.382780893098404,revm
GT,2.29545454545455,0.340832314586905,revm
SLT,2.68454545454545,0.30915492504045,revm
SGT,2.81727272727273,0.165105359132664,revm
EQ,1.68181818181818,0.244397274019594,revm
ISZERO,1.11636363636364,0.375991618217346,revm
AND,1.65818181818182,0.383687583348955,revm
OR,1.48909090909091,0.40945169276147,revm
XOR,1.26818181818182,0.414881022253684,revm
NOT,1.2,0.361816151458698,revm
BYTE,2.17909090909091,0.303044090595431,revm
SHL,10.4863636363636,0.292444653079494,revm
SHR,4.6890909090909,0.429841408386435,revm
SAR,9.26181818181817,0.201221248423875,revm
KECCAK256,248.109090909091,0.140679186835921,revm
ADDRESS,1.98636363636364,0.141782888641325,revm
ORIGIN,2.15454545454545,0.0886590232625919,revm
CALLER,1.99454545454546,0.0904858836125831,revm
CALLVALUE,1.75090909090909,0.154499101783119,revm
CALLDATALOAD,2.28454545454545,0.513686955584746,revm
CALLDATASIZE,3.35545454545455,0.99302521706468,revm
CALLDATACOPY,4.52909090909091,0.432917367634131,revm
CODESIZE,3.72909090909091,0.985269653533728,revm
CODECOPY,5.05272727272728,0.215845232449046,revm
GASPRICE,1.87454545454545,0.198755540606914,revm
EXTCODESIZE,0.122727272727274,0.0605567981608129,revm
EXTCODECOPY,-0.0645454545454541,0.0565774699064045,revm
RETURNDATASIZE,3.64545454545455,0.996090613629175,revm
RETURNDATACOPY,0.0990909090909147,0.0771026053639073,revm
EXTCODEHASH,0.131818181818182,0.0779412554563501,revm
COINBASE,2.03909090909091,0.085264671928972,revm
TIMESTAMP,1.73272727272727,0.155470788920395,revm
NUMBER,1.99636363636364,0.0766397125932298,revm
DIFFICULTY,2.04181818181818,0.0894242372898763,revm
GASLIMIT,1.83818181818182,0.117244143411818,revm
CHAINID,3.59909090909091,0.993822932940555,revm
SELFBALANCE,1.86272727272727,0.124677361395101,revm
POP,2.14636363636364,0.378156929056671,revm
MLOAD,2.28636363636363,0.476441797119271,revm
MSTORE8,2.65909090909091,0.418973230043534,revm
JUMP,2.36272727272727,0.177105334073282,revm
JUMPI,2.15636363636363,0.225523775620363,revm
PC,3.36454545454546,0.854794666003752,revm
MSIZE,3.70090909090909,0.977943110448009,revm
GAS,3.65181818181818,1.03196617102747,revm
JUMPDEST,0.882727272727272,0.0403144208100839,revm
PUSH0,1.78818181818182,0.157846794873935,revm
LOG0,31.4309090909091,0.608371654327183,revm
LOG1,51.7218181818182,0.57862951982432,revm
LOG2,50.0509090909091,0.819645380105104,revm
LOG3,49.5590909090909,0.644685485778854,revm
LOG4,52.3745454545454,0.614683804879903,revm
CALL,0.0227272727272713,0.0578422858084655,revm
RETURN,0.012727272727273,0.0152240687116127,revm
DELEGATECALL,0.0272727272727284,0.0941932055047978,revm
STATICCALL,0.0336363636363637,0.0652683941050657,revm
REVERT,0.00727272727272608,0.0105670277419169,revm
PUSH1,2.33909090909091,0.378658280860081,revm
PUSH2,2.38818181818182,0.135041060993574,revm
PUSH3,2.41545454545455,0.122654673626205,revm
PUSH4,2.31363636363636,0.124321851920786,revm
PUSH5,2.45454545454545,0.150420286618071,revm
PUSH6,2.40181818181818,0.126438826550645,revm
PUSH7,2.55818181818182,0.217199810257186,revm
PUSH8,2.83818181818182,0.198737059283824,revm
PUSH9,2.29454545454545,0.207447206378739,revm
PUSH10,2.65090909090909,0.117560136419329,revm
PUSH11,2.51636363636364,0.194279058616929,revm
PUSH12,2.40181818181818,0.174792543963295,revm
PUSH13,2.63090909090909,0.202687181794785,revm
PUSH14,2.84454545454545,0.174087942058742,revm
PUSH15,2.97818181818182,0.164482660042162,revm
PUSH16,2.47,0.173895834478151,revm
PUSH17,2.47909090909091,0.125759766319001,revm
PUSH18,2.35363636363636,0.125125831982054,revm
PUSH19,2.77636363636364,0.146763053727408,revm
PUSH20,2.87545454545455,0.197916373060534,revm
PUSH21,2.57727272727273,0.112495280994793,revm
PUSH22,2.42909090909091,0.178668681375096,revm
PUSH23,2.44363636363636,0.180590806758724,revm
PUSH24,2.50909090909091,0.15241550670792,revm
PUSH25,2.52090909090909,0.127795104027528,revm
PUSH26,2.49090909090909,0.190726223143736,revm
PUSH27,2.57545454545454,0.230325158426568,revm
PUSH28,2.71363636363636,0.158868531448695,revm
PUSH29,2.45727272727273,0.181482265448104,revm
PUSH30,2.39545454545454,0.114798102005472,revm
PUSH31,2.39909090909091,0.120138808606267,revm
PUSH32,2.60181818181818,0.0993717639711982,revm
DUP1,1.31545454545455,0.360345079993955,revm
DUP2,1.97818181818182,0.391674608676294,revm
DUP3,1.65272727272727,0.208606377546289,revm
DUP4,1.35454545454545,0.370173562647322,revm
DUP5,1.64181818181818,0.39069573693776,revm
DUP6,1.50636363636364,0.329703514863731,revm
DUP7,1.54181818181818,0.378827149479463,revm
DUP8,1.71818181818182,0.249830061617466,revm
DUP9,1.74727272727273,0.38733816490825,revm
DUP10,1.67636363636363,0.376446582378902,revm
DUP11,1.53090909090909,0.457776797096136,revm
DUP12,1.76454545454545,0.418186100109829,revm
DUP13,1.52272727272728,0.375717862026456,revm
DUP14,1.62363636363637,0.201824551724028,revm
DUP15,1.65727272727273,0.287193922191932,revm
DUP16,1.63909090909091,0.279460814976696,revm
SWAP1,2.41181818181818,0.434056506119942,revm
SWAP2,2.55909090909091,0.38559638613809,revm
SWAP3,2.35272727272727,0.443014964705672,revm
SWAP4,2.47727272727273,0.381162857538536,revm
SWAP5,2.59090909090909,0.385294420714353,revm
SWAP6,2.31363636363636,0.443830786177,revm
SWAP7,2.31545454545454,0.486147030025455,revm
SWAP8,2.47909090909091,0.409722408211503,revm
SWAP9,2.45909090909091,0.41833275712537,revm
SWAP10,2.25090909090909,0.388033113238674,revm
SWAP11,2.39454545454545,0.362767142944341,revm
SWAP12,2.28909090909091,0.486428863746557,revm
SWAP13,2.36636363636364,0.480446972026355,revm
SWAP14,2.42545454545455,0.412421459256301,revm
SWAP15,2.31818181818182,0.313550712942543,revm
SWAP16,2.14727272727273,0.339580035560049,revm
