op,estimate_marginal_ns,estimate_marginal_ns_stderr,env
ECRECOVER,31096.0172727273,49.6936915945806,besu
SHA2-256,1208.55818181818,11.9306194645577,besu
RIPEMD-160,1540.59363636364,15.656463505369,besu
IDENTITY,927.816363636364,11.2061760487031,besu
MODEXP,1505.94272727273,14.2772915914836,besu
ECADD,4358.83090909091,58.5767421761139,besu
ECMUL,4459.88454545455,53.4737859200601,besu
ECPAIRING79000,307743.213636364,93.9026349756511,besu
ECPAIRING113000,438781.178181818,100.332848430586,besu
ECPAIRING181000,700996.680909091,98.1292921968481,besu
ECPAIRING317000,1226160.40454545,223.10594488757,besu
BLAKE2F,1341.64272727273,13.8249503990198,besu
POINTEVAL,851247.824545454,41.3369216550945,besu
