op,estimate_marginal_ns,estimate_marginal_ns_stderr,env
ECRECOVER,38429.7527272727,16.94490102924,erigon
SHA2-256,303.273636363636,2.52016220490402,erigon
RIPEMD-160,539.652727272727,3.06878618813746,erigon
IDENTITY,248.489090909091,1.52335886193051,erigon
MODEXP,836.052727272727,5.19086129221392,erigon
ECADD,8143.50181818181,27.5944826135058,erigon
ECMUL,52896.1636363636,89.1160886083545,erigon
ECPAIRING79000,936878.85,3486.75907296175,erigon
ECPAIRING113000,1433070.38363636,3768.25809299263,erigon
ECPAIRING181000,2400941.35545455,13735.0313248341,erigon
ECPAIRING317000,4397834.92,15420.5508617743,erigon
BLAKE2F,385.72,3.67196806834558,erigon
POINTEVAL,881820.039090909,117.286904636347,erigon
