opcode,constant_current_gas,groups,base
ECRECOVER,3100,0,1
BLS12_G1ADD,375,1,0
BLS12_G2ADD,600,1,0
BLS12_G1MSM_K0,0,-1,0
BLS12_G1MSM_K1,12000,-1,0
BLS12_G1MSM_K2,22776,2,0
BLS12_G1MSM_ARG0,12000,2,0
BLS12_G1MSM_ARGC,0,2,0
BLS12_G2MSM_K0,0,-1,0
BLS12_G2MSM_K1,22500,-1,0
BLS12_G2MSM_K2,45000,2,0
BLS12_G2MSM_ARG0,22500,2,0
BLS12_G2MSM_ARGC,0,2,0
BLS12_PAIRING_CHECK,102900,0,0
BLS12_PAIRING_CHECK_ARG0,32600,0,0
BLS12_PAIRING_CHECK_ARGC,37700,0,0
BLS12_MAP_FP_TO_G1,5500,3,0
BLS12_MAP_FP_TO_G2,23800,3,0
