program_id,sample_id,task_clock,context_switches,page_faults,instructions,branches,branch_misses,L1_dcache_loads,LLC_loads,LLC_load_misses,L1_icache_loads,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
ADD_40,0,6615.39,44,222,29635470250,6248113738,6239290,6349465985,18424646,4633,4333938753,3502990,6365303924,163556,29671318535,68011
ADD_40,1,6568.98,40,223,29633150450,6252014588,6247018,6356692664,13942319,3443,4326410950,3600667,6358542147,157675,29649355675,65713
ADD_40,2,6593.31,34,223,29634874577,6251649956,6232097,6356424333,15851307,343,4329960547,3520067,6357227323,157920,29633366973,65358
ADD_40,3,6580.43,23,222,29632641488,6252451175,6237388,6356857210,14588934,612,4325853657,3584804,6358086511,155616,29636673993,64716
ADD_40,4,6571.35,62,218,29626452281,6251184015,6238124,6358604232,13293363,4126,4327986075,3673379,6357527041,161044,29632526606,68068
ADD_40,5,6579.49,36,222,29632768600,6251823314,6240740,6356493204,14801360,203,4329046721,3185647,6360059335,157978,29641671994,65935
ADD_40,6,6575.94,40,221,29619961381,6248282501,6229303,6355390727,13496594,3189,4330156994,3388812,6361406960,158295,29646601561,67698
ADD_40,7,6589.10,41,222,29634818919,6248848510,6237840,6354001455,15400159,158,4329327981,3590152,6362153485,153700,29651377004,100369
ADD_40,8,6588.30,33,221,29619540856,6248370724,6232849,6356757823,16302715,512,4330065948,3502779,6359971081,153649,29638262743,64703
ADD_40,9,6571.58,38,222,29629857725,6249906905,6235135,6356520044,16794312,3794,4327195692,3573871,6360746782,153015,29645480440,64817
ADD_40,10,6572.55,19,218,29634002361,6250049882,6236463,6354752250,15142095,3803,4327768370,3316081,6361843928,153804,29655854770,63682
ADD_40,11,6569.82,32,220,29649777967,6252821650,6237396,6355352715,14967191,4854,4328445739,3710876,6360171250,166224,29647238969,70975
ADD_40,12,6591.08,19,219,29634644124,6250796353,6241610,6354217706,17178718,356,4328325129,3254589,6363065478,154653,29648129785,67752
ADD_40,13,6618.49,92,222,29631638198,6252378074,6268191,6358494129,16394183,7792,4326969686,3784931,6358474585,170568,29633705706,67802
ADD_40,14,6582.73,29,223,29624710770,6250255806,6238646,6358243278,12250426,1007,4327875888,3409562,6358096138,157583,29633218338,90699
ADD_40,15,6576.33,29,219,29629624997,6251157510,6226326,6356195030,15137124,4027,4327716628,3627210,6359289183,154582,29643024405,76957
ADD_40,16,6578.50,30,221,29634424964,6251679130,6234685,6357665205,14968927,113,4326626188,3664320,6358261661,151295,29637068464,67509
ADD_40,17,6571.52,31,221,29638006751,6249465254,6231914,6354421013,14430369,5903,4329414266,3532391,6363255684,160528,29660059113,68614
ADD_40,18,6609.02,39,219,29641318946,6252453231,6234739,6355780398,17483723,624,4327839394,3491795,6358890912,158226,29651472664,68510
ADD_40,19,6569.12,36,219,29629201120,6250358615,6232426,6356550163,14263020,3032,4327648378,3590246,6359616185,152140,29644134361,68505
ADD_45,0,6612.48,19,222,29813559277,6272655979,6243956,6420152518,17005612,546,4342076597,3931864,6426106101,152791,29828748733,62026
ADD_45,1,6618.37,29,223,29812730594,6274728668,6235634,6420947907,14608309,4078,4342061766,3752668,6424780301,157520,29820369351,64197
ADD_45,2,6631.65,17,223,29812239377,6274700968,6233644,6421462832,16240043,310,4342881162,3926232,6425393248,152506,29821982875,63025
ADD_45,3,6620.98,29,227,29808632715,6273949909,6233098,6419069910,14860914,4181,4341478085,3778401,6426529632,149211,29827325851,63028
ADD_45,4,6616.86,31,227,29813985761,6271890718,6241121,6419821517,15116156,3478,4343436874,3815184,6427826104,155950,29831705950,63672
ADD_45,5,6601.00,41,223,29813985496,6273709545,6250769,6418762157,15434004,1176,4340863915,4011940,6427149131,155448,29835167538,98372
ADD_45,6,6598.67,35,225,29811672214,6274866489,6225700,6419435617,13274003,464,4339844658,4012198,6426380824,152172,29828268708,63536
ADD_45,7,6611.89,20,227,29818709886,6274077810,6233841,6419975835,12108992,377,4342973230,3852264,6424622420,153822,29823472362,62069
ADD_45,8,6595.05,29,222,29806664814,6274260222,6241825,6423113764,11570543,496,4341447567,3784598,6422444495,158985,29813374685,62938
ADD_45,9,6597.34,15,226,29821911711,6274777057,6241837,6418617122,16883955,305,4341438587,3608539,6427169363,153480,29834229269,60433
ADD_45,10,6597.70,30,225,29810331494,6274297165,6239842,6420241136,12988125,519,4342618971,3635779,6425922849,154674,29829207945,95767
ADD_45,11,6625.12,32,224,29807966147,6272997803,6240180,6420218914,15974557,3192,4342565502,3868395,6426620597,154159,29832537568,62571
ADD_45,12,6601.40,22,223,29807423496,6273662552,6237843,6420849860,13486883,705,4340817953,3543608,6424974270,151049,29827067427,64233
ADD_45,13,6602.47,36,227,29817150088,6274088405,6236904,6419879308,13631954,798,4342278094,3801662,6425270512,155921,29834214106,62222
ADD_45,14,6604.05,45,223,29814284378,6275248962,6247997,6422895346,14929723,1140,4339933442,3822752,6423501008,151113,29820090234,67090
ADD_45,15,6611.64,17,225,29817225559,6272513946,6234875,6418652595,13085051,1464,4342479340,3748737,6428451657,154189,29835439144,61095
ADD_45,16,6603.73,39,224,29813100113,6274944557,6242941,6422337952,14236114,1680,4340101768,3902276,6423079138,157001,29824123950,63003
ADD_45,17,6616.29,22,224,29812740731,6276052810,6240370,6420075936,14228190,3802,4342406257,4240915,6424552576,153274,29827540193,60046
