program_id,sample_id,real_time_perf,user_time_perf,sys_time_perf,real_time_pure,user_time_pure,sys_time_pure
ADD_40,0,6.68,6.62,0.04,6.65,6.61,0.04
ADD_40,1,6.65,6.61,0.03,6.64,6.59,0.05
ADD_40,2,6.65,6.60,0.05,6.68,6.65,0.02
ADD_40,3,6.64,6.58,0.05,6.64,6.60,0.03
ADD_40,4,6.65,6.60,0.04,6.64,6.58,0.06
ADD_40,5,6.65,6.60,0.04,6.63,6.59,0.04
ADD_40,6,6.63,6.58,0.05,6.64,6.59,0.04
ADD_40,7,6.64,6.58,0.05,6.64,6.59,0.04
ADD_40,8,6.64,6.60,0.04,6.65,6.61,0.04
ADD_40,9,6.67,6.62,0.05,6.64,6.58,0.05
ADD_40,10,6.64,6.59,0.04,6.64,6.58,0.05
ADD_40,11,6.64,6.59,0.05,6.66,6.61,0.04
ADD_40,12,6.66,6.60,0.05,6.66,6.60,0.05
ADD_40,13,6.64,6.59,0.04,6.64,6.60,0.03
ADD_40,14,6.63,6.58,0.05,6.64,6.58,0.06
ADD_40,15,6.64,6.59,0.05,6.65,6.60,0.05
ADD_40,16,6.64,6.60,0.03,6.64,6.61,0.03
ADD_40,17,6.64,6.59,0.04,6.64,6.58,0.05
ADD_40,18,6.64,6.59,0.05,6.64,6.58,0.06
ADD_40,19,6.63,6.59,0.03,6.63,6.59,0.04
ADD_45,0,6.68,6.64,0.04,6.67,6.64,0.02
ADD_45,1,6.66,6.63,0.03,6.67,6.61,0.05
ADD_45,2,6.66,6.62,0.04,6.66,6.61,0.04
ADD_45,3,6.67,6.63,0.04,6.67,6.63,0.04
ADD_45,4,6.66,6.61,0.05,6.66,6.61,0.05
ADD_45,5,6.66,6.60,0.06,6.67,6.64,0.03
ADD_45,6,6.67,6.62,0.05,6.68,6.63,0.04
ADD_45,7,6.68,6.62,0.05,6.66,6.59,0.06
ADD_45,8,6.68,6.63,0.04,6.67,6.61,0.05
ADD_45,9,6.70,6.63,0.06,6.67,6.62,0.04
ADD_45,10,6.67,6.63,0.04,6.66,6.59,0.06
ADD_45,11,6.68,6.63,0.04,6.68,6.62,0.05
ADD_45,12,6.66,6.62,0.04,6.66,6.60,0.05
ADD_45,13,6.68,6.63,0.04,6.67,6.63,0.03
ADD_45,14,6.68,6.63,0.05,6.67,6.61,0.06
ADD_45,15,6.68,6.63,0.04,6.67,6.62,0.04
ADD_45,16,6.66,6.60,0.05,6.66,6.60,0.05
ADD_45,17,6.66,6.61,0.04,6.67,6.63,0.04
ADD_45,18,6.66,6.60,0.05,6.68,6.63,0.05
ADD_45,19,6.66,6.61,0.05,6.68,6.65,0.02
ADD_5,0,6.07,6.04,0.03,6.07,6.02,0.04
ADD_5,1,6.10,6.05,0.04,6.07,6.03,0.04
ADD_5,2,6.08,6.02,0.05,6.08,6.03,0.05
ADD_5,3,6.11,6.06,0.05,6.09,6.05,0.04
ADD_5,4,6.08,6.03,0.05,6.08,6.02,0.05
ADD_5,5,6.08,6.02,0.05,6.08,6.02,0.05
ADD_5,6,6.07,6.03,0.04,6.08,6.03,0.04
ADD_5,7,6.08,6.04,0.04,6.10,6.05,0.04
ADD_5,8,6.07,6.03,0.03,6.09,6.03,0.05
ADD_5,9,6.08,6.04,0.04,6.08,6.03,0.03
ADD_5,10,6.10,6.04,0.05,6.06,6.01,0.04
ADD_5,11,6.08,6.03,0.04,6.09,6.04,0.04
ADD_5,12,6.07,6.02,0.05,6.07,6.03,0.03
ADD_5,13,6.08,6.03,0.04,6.07,6.03,0.04
ADD_5,14,6.07,6.03,0.04,6.07,6.02,0.04
ADD_5,15,6.08,6.03,0.05,6.08,6.03,0.04
ADD_5,16,6.10,6.04,0.06,6.08,6.04,0.04
ADD_5,17,6.08,6.03,0.04,6.07,6.02,0.04
ADD_5,18,6.08,6.03,0.04,6.06,6.00,0.05
ADD_5,19,6.08,6.03,0.04,6.08,6.03,0.05
ADD_10,0,6.19,6.14,0.05,6.19,6.15,0.04
ADD_10,1,6.19,6.14,0.05,6.19,6.13,0.05
ADD_10,2,6.20,6.15,0.04,6.20,6.14,0.05
ADD_10,3,6.22,6.17,0.05,6.21,6.16,0.05
ADD_10,4,6.19,6.15,0.04,6.19,6.16,0.02
ADD_10,5,6.20,6.16,0.03,6.22,6.17,0.04
ADD_10,6,6.20,6.16,0.03,6.18,6.13,0.05
ADD_10,7,6.18,6.12,0.05,6.21,6.17,0.04
ADD_10,8,6.19,6.15,0.04,6.20,6.16,0.03
ADD_10,9,6.20,6.15,0.04,6.17,6.14,0.03
ADD_10,10,6.20,6.16,0.03,6.19,6.15,0.04
ADD_10,11,6.20,6.16,0.04,6.18,6.12,0.05
ADD_10,12,6.18,6.14,0.04,6.19,6.15,0.03
ADD_10,13,6.18,6.13,0.05,6.19,6.13,0.05
ADD_10,14,6.20,6.15,0.04,6.18,6.13,0.05
ADD_10,15,6.19,6.15,0.03,6.19,6.14,0.04
ADD_10,16,6.21,6.15,0.04,6.20,6.16,0.04
ADD_10,17,6.20,6.15,0.05,6.20,6.14,0.05
ADD_10,18,6.19,6.14,0.05,6.19,6.14,0.04
ADD_10,19,6.21,6.16,0.05,6.20,6.16,0.04
ADD_25,0,6.36,6.32,0.03,6.38,6.33,0.05
ADD_25,1,6.35,6.31,0.04,6.36,6.32,0.03
ADD_25,2,6.37,6.31,0.05,6.37,6.33,0.04
ADD_25,3,6.39,6.34,0.05,6.39,6.33,0.05
ADD_25,4,6.39,6.34,0.05,6.37,6.32,0.05
ADD_25,5,6.40,6.35,0.05,6.37,6.31,0.05
ADD_25,6,6.37,6.32,0.05,6.38,6.35,0.03
ADD_25,7,6.37,6.32,0.05,6.37,6.32,0.04
ADD_25,8,6.39,6.35,0.03,6.37,6.31,0.05
ADD_25,9,6.35,6.31,0.04,6.37,6.32,0.04
ADD_25,10,6.37,6.33,0.04,6.37,6.31,0.06
ADD_25,11,6.38,6.32,0.05,6.39,6.34,0.04
ADD_25,12,6.37,6.32,0.04,6.38,6.32,0.05
ADD_25,13,6.39,6.33,0.05,6.39,6.33,0.05
ADD_25,14,6.37,6.33,0.04,6.39,6.35,0.04
ADD_25,15,6.37,6.33,0.04,6.38,6.34,0.04
ADD_25,16,6.42,6.38,0.03,6.39,6.32,0.06
ADD_25,17,6.39,6.34,0.04,6.37,6.34,0.02
ADD_25,18,6.37,6.32,0.04,6.38,6.34,0.03
ADD_25,19,6.39,6.34,0.04,6.40,6.35,0.05
ADD_15,0,6.26,6.20,0.05,6.23,6.18,0.04
ADD_15,1,6.23,6.17,0.05,6.23,6.18,0.04
ADD_15,2,6.21,6.18,0.03,6.25,6.20,0.04
ADD_15,3,6.22,6.18,0.04,6.21,6.17,0.04
ADD_15,4,6.25,6.21,0.04,6.20,6.14,0.05
ADD_15,5,6.22,6.17,0.04,6.22,6.17,0.04
ADD_15,6,6.23,6.18,0.05,6.22,6.16,0.05
ADD_15,7,6.23,6.16,0.06,6.22,6.17,0.04
ADD_15,8,6.21,6.16,0.04,6.22,6.18,0.04
ADD_15,9,6.22,6.16,0.05,6.21,6.16,0.04
ADD_15,10,6.21,6.16,0.04,6.21,6.18,0.03
ADD_15,11,6.20,6.15,0.05,6.22,6.18,0.04
ADD_15,12,6.21,6.18,0.03,6.22,6.18,0.03
ADD_15,13,6.25,6.19,0.05,6.22,6.17,0.05
ADD_15,14,6.21,6.15,0.06,6.21,6.18,0.03
ADD_15,15,6.20,6.15,0.05,6.22,6.18,0.03
ADD_15,16,6.22,6.15,0.06,6.22,6.18,0.03
ADD_15,17,6.21,6.15,0.05,6.23,6.19,0.03
ADD_15,18,6.20,6.16,0.04,6.23,6.18,0.04
ADD_15,19,6.24,6.19,0.05,6.21,6.17,0.04
ADD_35,0,6.52,6.47,0.05,6.54,6.49,0.05
ADD_35,1,6.53,6.49,0.03,6.53,6.49,0.04
ADD_35,2,6.52,6.46,0.05,6.54,6.49,0.04
ADD_35,3,6.54,6.48,0.05,6.51,6.46,0.05
ADD_35,4,6.53,6.48,0.04,6.52,6.48,0.04
ADD_35,5,6.54,6.47,0.06,6.53,6.47,0.05
ADD_35,6,6.55,6.49,0.05,6.53,6.50,0.03
ADD_35,7,6.53,6.48,0.05,6.53,6.48,0.04
ADD_35,8,6.52,6.47,0.04,6.52,6.48,0.04
ADD_35,9,6.53,6.48,0.04,6.53,6.47,0.05
ADD_35,10,6.54,6.49,0.04,6.53,6.49,0.03
ADD_35,11,6.53,6.48,0.04,6.56,6.50,0.05
ADD_35,12,6.53,6.49,0.04,6.52,6.48,0.04
ADD_35,13,6.55,6.50,0.04,6.52,6.48,0.04
ADD_35,14,6.54,6.49,0.05,6.55,6.50,0.05
ADD_35,15,6.54,6.49,0.04,6.52,6.46,0.06
ADD_35,16,6.53,6.47,0.05,6.54,6.50,0.04
ADD_35,17,6.53,6.47,0.05,6.51,6.47,0.04
ADD_35,18,6.54,6.51,0.03,6.53,6.49,0.03
ADD_35,19,6.54,6.49,0.05,6.54,6.49,0.04
ADD_20,0,6.36,6.32,0.04,6.38,6.33,0.05
ADD_20,1,6.37,6.32,0.05,6.36,6.31,0.05
ADD_20,2,6.34,6.30,0.03,6.36,6.29,0.06
ADD_20,3,6.36,6.31,0.05,6.35,6.30,0.05
ADD_20,4,6.36,6.32,0.03,6.34,6.29,0.04
ADD_20,5,6.37,6.31,0.05,6.38,6.34,0.04
ADD_20,6,6.34,6.30,0.03,6.37,6.34,0.02
ADD_20,7,6.35,6.31,0.03,6.36,6.32,0.03
ADD_20,8,6.36,6.31,0.05,6.37,6.32,0.05
ADD_20,9,6.38,6.34,0.04,6.36,6.31,0.04
ADD_20,10,6.35,6.30,0.04,6.36,6.32,0.04
ADD_20,11,6.37,6.33,0.03,6.36,6.31,0.05
ADD_20,12,6.35,6.30,0.04,6.37,6.32,0.04
ADD_20,13,6.35,6.31,0.03,6.37,6.32,0.05
ADD_20,14,6.35,6.31,0.04,6.36,6.30,0.05
ADD_20,15,6.35,6.29,0.05,6.40,6.34,0.05
ADD_20,16,6.36,6.32,0.04,6.36,6.31,0.05
ADD_20,17,6.36,6.31,0.05,6.35,6.30,0.04
ADD_20,18,6.33,6.28,0.05,6.34,6.30,0.04
ADD_20,19,6.35,6.29,0.05,6.33,6.27,0.05
ADD_0,0,6.04,6.00,0.03,6.05,6.00,0.05
ADD_0,1,6.07,6.01,0.06,6.05,6.01,0.03
ADD_0,2,6.07,6.01,0.05,6.07,6.03,0.04
ADD_0,3,6.05,6.01,0.03,6.06,6.01,0.05
ADD_0,4,6.05,6.01,0.04,6.04,5.98,0.05
ADD_0,5,6.04,5.99,0.05,6.06,6.02,0.04
ADD_0,6,6.06,5.99,0.06,6.06,6.00,0.05
ADD_0,7,6.05,6.00,0.04,6.05,6.00,0.04
ADD_0,8,6.06,6.00,0.06,6.05,6.01,0.03
ADD_0,9,6.06,6.01,0.05,6.08,6.03,0.05
ADD_0,10,6.04,5.99,0.05,6.05,6.01,0.04
ADD_0,11,6.05,6.00,0.05,6.05,6.01,0.03
ADD_0,12,6.05,6.00,0.04,6.06,6.01,0.05
ADD_0,13,6.06,6.01,0.04,6.05,5.99,0.05
ADD_0,14,6.05,5.99,0.05,6.06,6.01,0.05
ADD_0,15,6.06,6.01,0.05,6.05,6.01,0.03
ADD_0,16,6.05,6.00,0.05,6.07,6.02,0.04
ADD_0,17,6.04,6.00,0.04,6.06,6.02,0.04
ADD_0,18,6.05,6.01,0.04,6.05,5.99,0.05
ADD_0,19,6.05,5.99,0.05,6.08,6.02,0.05
ADD_50,0,6.79,6.73,0.05,6.78,6.72,0.06
ADD_50,1,6.78,6.73,0.04,6.78,6.72,0.06
ADD_50,2,6.78,6.73,0.04,6.80,6.76,0.04
ADD_50,3,6.78,6.73,0.05,6.79,6.74,0.04
ADD_50,4,6.78,6.72,0.05,6.79,6.74,0.05
ADD_50,5,6.80,6.75,0.04,6.82,6.76,0.05
ADD_50,6,6.79,6.74,0.04,6.80,6.75,0.04
ADD_50,7,6.81,6.76,0.04,6.78,6.74,0.03
ADD_50,8,6.80,6.75,0.04,6.78,6.73,0.04
ADD_50,9,6.79,6.75,0.04,6.79,6.74,0.05
ADD_50,10,6.79,6.74,0.05,6.79,6.74,0.04
ADD_50,11,6.79,6.75,0.04,6.78,6.72,0.06
ADD_50,12,6.79,6.72,0.05,6.79,6.74,0.05
ADD_50,13,6.79,6.74,0.05,6.78,6.74,0.04
ADD_50,14,6.79,6.73,0.05,6.78,6.74,0.04
ADD_50,15,6.79,6.72,0.06,6.78,6.73,0.05
ADD_50,16,6.79,6.75,0.04,6.79,6.73,0.05
ADD_50,17,6.79,6.74,0.05,6.80,6.76,0.04
ADD_50,18,6.78,6.72,0.05,6.78,6.73,0.04
ADD_50,19,6.77,6.73,0.04,6.78,6.72,0.06
ADD_30,0,6.47,6.42,0.05,6.47,6.42,0.05
ADD_30,1,6.46,6.42,0.03,6.46,6.41,0.04
ADD_30,2,6.50,6.44,0.05,6.47,6.41,0.06
ADD_30,3,6.46,6.40,0.05,6.48,6.44,0.03
ADD_30,4,6.46,6.42,0.04,6.46,6.42,0.03
ADD_30,5,6.50,6.46,0.04,6.49,6.43,0.05
ADD_30,6,6.48,6.44,0.03,6.48,6.42,0.06
ADD_30,7,6.50,6.45,0.04,6.46,6.41,0.04
ADD_30,8,6.47,6.43,0.03,6.48,6.41,0.06
ADD_30,9,6.47,6.42,0.05,6.49,6.45,0.04
ADD_30,10,6.48,6.43,0.04,6.46,6.41,0.04
ADD_30,11,6.47,6.42,0.04,6.46,6.42,0.04
ADD_30,12,6.47,6.43,0.04,6.47,6.42,0.04
ADD_30,13,6.46,6.41,0.05,6.49,6.42,0.06
ADD_30,14,6.49,6.43,0.06,6.46,6.41,0.05
ADD_30,15,6.47,6.44,0.02,6.46,6.40,0.05
ADD_30,16,6.46,6.41,0.05,6.47,6.42,0.05
ADD_30,17,6.48,6.43,0.04,6.49,6.45,0.03
ADD_30,18,6.49,6.46,0.03,6.47,6.42,0.04
ADD_30,19,6.49,6.44,0.04,6.47,6.42,0.04
MUL_40,0,7.11,7.05,0.05,7.14,7.08,0.05
MUL_40,1,7.12,7.07,0.04,7.12,7.09,0.03
MUL_40,2,7.12,7.06,0.05,7.12,7.06,0.05
MUL_40,3,7.11,7.05,0.05,7.11,7.06,0.05
MUL_40,4,7.11,7.06,0.05,7.14,7.10,0.04
MUL_40,5,7.11,7.07,0.04,7.14,7.08,0.05
MUL_40,6,7.11,7.06,0.04,7.12,7.08,0.03
MUL_40,7,7.13,7.09,0.04,7.11,7.07,0.04
MUL_40,8,7.12,7.06,0.05,7.11,7.07,0.04
MUL_40,9,7.11,7.05,0.05,7.11,7.06,0.04
MUL_40,10,7.11,7.07,0.03,7.13,7.07,0.05
