program_id,sample_id,run_id,measure_total_time_ns,measure_total_timer_time_ns
0,1,0,5555,0
0,1,1,5049,0
0,1,2,5246,0
0,1,3,5132,0
0,1,4,5214,0
0,1,5,5394,0
0,1,6,5114,0
0,1,7,5194,0
0,1,8,5094,0
0,1,9,5233,0
0,1,10,5183,0
0,1,11,5274,0
0,1,12,5344,0
0,1,13,5301,0
0,1,14,5239,0
0,1,15,5313,0
0,1,16,5470,0
0,1,17,5190,0
0,1,18,5155,0
0,1,19,5317,0
0,1,20,5254,0
0,1,21,5304,0
0,1,22,5077,0
0,1,23,5950,0
0,1,24,5420,0
0,1,25,5991,0
0,1,26,5120,0
0,1,27,5150,0
0,1,28,5205,0
0,1,29,5303,0
1,1,0,10132,0
1,1,1,10001,0
1,1,2,9997,0
1,1,3,11143,0
1,1,4,10095,0
1,1,5,10010,0
1,1,6,9988,0
1,1,7,10130,0
1,1,8,10072,0
1,1,9,11333,0
1,1,10,11212,0
1,1,11,10012,0
1,1,12,10078,0
1,1,13,10387,0
1,1,14,11143,0
1,1,15,10136,0
1,1,16,10141,0
1,1,17,10132,0
1,1,18,10141,0
1,1,19,10142,0
1,1,20,10127,0
1,1,21,10012,0
1,1,22,10030,0
1,1,23,9975,0
1,1,24,10121,0
1,1,25,10213,0
1,1,26,10164,0
1,1,27,10128,0
1,1,28,9750.8,0
1,1,29,10162,0
2,1,0,4001,0
2,1,1,3913,0
2,1,2,3518.8,0
2,1,3,4011.9,0
2,1,4,4015.9,0
2,1,5,4013.8,0
2,1,6,4516.6,0
2,1,7,4516,0
2,1,8,4017.9,0
2,1,9,3515.7,0
2,1,10,4009.1,0
2,1,11,4515.1,0
2,1,12,3701.7,0
2,1,13,3993.9,0
2,1,14,3675,0
2,1,15,3521.5,0
2,1,16,3522.2,0
2,1,17,3518.7,0
2,1,18,4014.2,0
2,1,19,4001.5,0
2,1,20,3998.2,0
2,1,21,4006.9,0
2,1,22,4014.9,0
2,1,23,3505.3,0
2,1,24,4000.3,0
2,1,25,4000,0
2,1,26,4526.6,0
2,1,27,3998.2,0
2,1,28,4012.6,0
2,1,29,4461.9,0
