opcode,constant_current_gas,groups
ADD,3,0
MUL,5,0
SUB,3,0
DIV,5,0
SDIV,5,0
MOD,5,0
SMOD,5,0
ADDMOD,8,0
MULMOD,8,0
EXP,10,0
SIGNEXTEND,5,0
LT,3,0
GT,3,0
SLT,3,0
SGT,3,0
EQ,3,0
ISZERO,3,0
AND,3,0
OR,3,0
XOR,3,0
NOT,3,0
BYTE,3,0
SHL,3,0
SHR,3,0
SAR,3,0
ADDRESS,2,0
ORIGIN,2,0
CALLER,2,0
CALLVALUE,2,0
CALLDATALOAD,3,0
CALLDATASIZE,2,0
CALLDATACOPY,2,0
CODESIZE,2,0
CODECOPY,2,0
GASPRICE,2,0
RETURNDATASIZE,2,0
RETURNDATACOPY,3,0
COINBASE,2,0
TIMESTAMP,2,0
NUMBER,2,0
DIFFICULTY,2,0
GASLIMIT,2,0
CHAINID,2,0
SELFBALANCE,5,0
POP,2,0
MLOAD,3,0
MSTORE,3,0
MSTORE8,3,0
JUMP,8,0
JUMPI,10,0
PC,2,0
MSIZE,2,0
GAS,2,0
JUMPDEST,1,0
PUSH1,3,0
PUSH2,3,2
PUSH3,3,2
PUSH4,3,2
PUSH5,3,2
PUSH6,3,2
PUSH7,3,2
PUSH8,3,2
PUSH9,3,2
PUSH10,3,2
PUSH11,3,2
PUSH12,3,2
PUSH13,3,2
PUSH14,3,2
PUSH15,3,2
PUSH16,3,2
PUSH17,3,2
PUSH18,3,2
PUSH19,3,2
PUSH20,3,2
PUSH21,3,2
PUSH22,3,2
PUSH23,3,2
PUSH24,3,2
PUSH25,3,2
PUSH26,3,2
PUSH27,3,2
PUSH28,3,2
PUSH29,3,2
PUSH30,3,2
PUSH31,3,2
PUSH32,3,2
DUP1,3,0
DUP2,3,2
DUP3,3,2
DUP4,3,2
DUP5,3,2
DUP6,3,2
DUP7,3,2
DUP8,3,2
DUP9,3,2
DUP10,3,2
DUP11,3,2
DUP12,3,2
DUP13,3,2
DUP14,3,2
DUP15,3,2
DUP16,3,2
SWAP1,3,0
SWAP2,3,2
SWAP3,3,2
SWAP4,3,2
SWAP5,3,2
SWAP6,3,2
SWAP7,3,2
SWAP8,3,2
SWAP9,3,2
SWAP10,3,2
SWAP11,3,2
SWAP12,3,2
SWAP13,3,2
SWAP14,3,2
SWAP15,3,2
SWAP16,3,2
MCOPY,6,0
PUSH0,2,0
KECCAK256,36,0
LOG0,631,3
LOG1,1006,3
LOG2,1381,3
LOG3,1756,3
LOG4,2131,-1
EXTCODEHASH,100,0
EXTCODESIZE,100,0
EXTCODECOPY,103,0
CREATE,32020,3
CALL,100,3
STATICCALL,100,3
DELEGATECALL,100,3
RETURN,0,3
REVERT,0,3
STOP,0,-1
INVALID,0,-1
ECRECOVER,3100,4
SHA2-256,172,4
RIPEMD-160,820,4
IDENTITY,118,4
MODEXP,300,4
ECADD,250,4
ECMUL,6100,4
ECPAIRING79000,79100,4
ECPAIRING113000,113100,4
ECPAIRING181000,181100,4
ECPAIRING317000,317100,4
BLAKE2F,112,4
POINTEVAL,50100,-1
