program_id,sample_id,run_id,iterations_count,engine_overhead_time_ns,execution_loop_time_ns,total_time_ns,mem_allocs_count,mem_allocs_bytes
1,1,1,24074,17862,29302,47164,43,42573
1,1,2,26506,15238,30531,45769,43,42547
1,1,3,24432,16089,31039,47128,43,42569
1,1,4,27267,15010,31775,46785,43,42540
1,1,5,25798,15988,27997,43985,43,42554
1,1,6,24312,15472,31613,47085,43,42571
1,1,7,24529,15707,40153,55860,43,42569
1,1,8,26272,15394,29759,45153,43,42550
1,1,9,26492,14858,28777,43635,43,42548
1,1,10,26032,15717,29509,45226,43,42552
1,1,11,26034,15592,32122,47714,43,42553
1,1,12,25506,15842,26438,42280,43,42557
1,1,13,29409,12590,29671,42261,43,42522
1,1,14,25558,15530,27620,43150,43,42557
1,1,15,27807,14782,29309,44091,43,42536
1,1,16,28046,14579,29391,43970,43,42534
1,1,17,24392,16897,34475,51372,43,42570
1,1,18,22522,17652,29226,46878,43,42529
1,1,19,26634,14734,28872,43606,43,42546
1,1,20,27093,14202,29627,43829,43,42542
1,1,21,27110,14524,29127,43651,43,42542
1,1,22,27331,14300,29765,44065,43,42540
1,1,23,24619,14801,30495,45296,43,42567
1,1,24,25447,17692,27718,45410,43,42558
1,1,25,26448,15486,28921,44407,43,42548
1,1,26,23934,17094,30392,47486,43,42575
1,1,27,24904,16498,30469,46967,43,42563
1,1,28,27385,14471,29834,44305,43,42540
1,1,29,27330,14886,28335,43221,43,42540
1,1,30,27409,14580,27854,42434,43,42539
1,1,31,30195,12603,24803,37406,43,42576
1,1,32,26098,15053,29495,44548,43,42551
1,1,33,26124,14935,28247,43182,43,42551
1,1,34,26738,14062,31033,45095,43,42545
1,1,35,25444,15211,36560,51771,43,42559
1,1,36,24415,16678,32638,49316,43,42570
1,1,37,30168,14465,21485,35950,43,42576
1,1,38,27045,13323,30660,43983,43,42543
1,1,39,28652,14263,30570,44833,43,42529
1,1,40,25945,14329,29902,44231,43,42554
1,1,41,26630,13167,31485,44652,43,42547
1,1,42,25540,15896,29204,45100,43,42557
1,1,43,26128,14500,30916,45416,43,42551
1,1,44,24283,15831,31966,47797,43,42571
1,1,45,25867,15264,28545,43809,43,42554
1,1,46,26986,14902,28685,43587,43,42543
1,1,47,30733,12343,25357,37700,43,42571
1,1,48,27171,14981,28255,43236,43,42541
1,1,49,25446,16994,26821,43815,43,42559
1,1,50,30957,12131,29172,41303,43,42569
2,1,1,19113,21105,35468,56573,44,59090
2,1,2,16903,17926,57956,75882,44,59059
2,1,3,15080,23644,54997,78641,44,59088
2,1,4,18507,18875,48257,67132,44,59058
2,1,5,17742,21113,47973,69086,44,59046
2,1,6,16984,21996,46104,68100,44,59057
2,1,7,17556,19235,47887,67122,44,59048
2,1,8,21307,18511,36895,55406,44,59060
2,1,9,18561,18405,49881,68286,44,59057
2,1,10,21138,17027,43798,60825,44,59063
2,1,11,16742,20626,46333,66959,44,59060
2,1,12,18560,19082,47434,66516,44,59057
2,1,13,18160,19619,48224,67843,44,59042
2,1,14,19021,19124,46173,65297,44,59091
2,1,15,17629,20614,48290,68904,44,59048
2,1,16,18177,20361,50279,70640,44,59041
2,1,17,17853,20294,45199,65493,44,59044
2,1,18,17676,20900,45404,66304,44,59047
2,1,19,18566,18959,49959,68918,44,59057
2,1,20,15889,24026,50312,74338,44,59075
2,1,21,21500,16835,52051,68886,44,59059
2,1,22,20980,18620,37057,55677,44,59065
2,1,23,21055,17851,37975,55826,44,59063
2,1,24,19576,17565,50036,67601,44,59083
2,1,25,18723,18996,47401,66397,44,59095
2,1,26,18316,20863,48927,69790,44,59040
2,1,27,15604,23778,57014,80792,44,59080
2,1,28,13974,26770,50360,77130,44,59046
2,1,29,17611,22133,43563,65696,44,59048
2,1,30,17151,19458,47911,67369,44,59054
2,1,31,21277,19382,35261,54643,44,59060
2,1,32,19510,17359,48477,65836,44,59083
2,1,33,17778,19280,46473,65753,44,59046
2,1,34,18470,21285,45799,67084,44,59057
2,1,35,17763,20698,45841,66539,44,59046
2,1,36,21463,17863,39100,56963,44,59058
2,1,37,17950,20577,45906,66483,44,59044
2,1,38,13286,23338,58185,81523,44,59058
2,1,39,17215,23155,47236,70391,44,59054
2,1,40,18278,19370,45536,64906,44,59040
2,1,41,17938,19673,43612,63285,44,59044
2,1,42,20350,17669,40997,58666,44,59071
2,1,43,18230,20711,45610,66321,44,59040
2,1,44,18018,19898,47397,67295,44,59043
2,1,45,17690,18759,48617,67376,44,59047
2,1,46,16851,19717,52749,72466,44,59059
2,1,47,22423,17995,36921,54916,44,59048
2,1,48,18614,18479,47884,66363,44,59056
2,1,49,18104,19758,47164,66922,44,59041
2,1,50,18210,20104,47763,67867,44,59040
3,1,1,10000,38600,113052,151652,47,82268
3,1,2,10000,39018,112630,151648,47,82261
3,1,3,7399,38812,130929,169741,47,82292
3,1,4,10000,39054,112858,151912,47,82251
3,1,5,8227,44794,141860,186654,47,82257
3,1,6,9124,43350,117222,160572,47,82246
3,1,7,10000,39089,112800,151889,47,82260
3,1,8,7521,38623,123761,162384,47,82279
3,1,9,7356,38252,120299,158551,47,82266
3,1,10,6506,38828,126904,165732,47,82253
3,1,11,7660,37659,117564,155223,47,82280
3,1,12,9489,39212,115105,154317,47,82277
3,1,13,7677,38483,103870,142353,47,82273
3,1,14,9928,33605,110116,143721,47,82255
3,1,15,10000,39590,120801,160391,47,82257
3,1,16,10000,44474,111119,155593,47,82273
3,1,17,7442,38155,121255,159410,47,82262
3,1,18,8486,38284,108550,146834,47,82233
3,1,19,8221,33942,102656,136598,47,82256
3,1,20,10000,32900,101206,134106,47,82239
3,1,21,8716,33958,103516,137474,47,82259
3,1,22,9148,33092,103243,136335,47,82248
3,1,23,10000,33933,119074,153007,47,82279
3,1,24,6268,39271,124133,163404,47,82253
3,1,25,9429,38997,117008,156005,47,82262
3,1,26,10000,37875,115155,153030,47,82254
3,1,27,7621,44483,137880,182363,47,82264
3,1,28,7627,39435,117609,157044,47,82302
3,1,29,10000,38761,116697,155458,47,82255
3,1,30,7651,39090,111569,150659,47,82254
3,1,31,10000,34155,99119,133274,47,82253
3,1,32,8211,37849,115161,153010,47,82235
3,1,33,7921,39173,126023,165196,47,82270
3,1,34,8883,39579,120135,159714,47,82275
3,1,35,7666,38348,113716,152064,47,82277
3,1,36,10000,38263,112985,151248,47,82252
3,1,37,7684,39370,127105,166475,47,82251
3,1,38,7092,39703,132704,172407,47,82257
3,1,39,10000,37748,151190,188938,47,82275
3,1,40,7216,39350,126461,165811,47,82289
3,1,41,9894,38878,114331,153209,47,82257
3,1,42,7933,38053,139011,177064,47,82247
3,1,43,6627,37786,125819,163605,47,82252
3,1,44,7692,38441,120574,159015,47,82269
3,1,45,10000,33987,102998,136985,47,82266
