op,estimate_marginal_ns,estimate_marginal_ns_stderr,env
ECRECOVER,30701.12,311.853112499418,besu
SHA2-256,1293.12727272727,183.618602846484,besu
RIPEMD-160,1414.09818181818,264.869234114747,besu
IDENTITY,1338.29818181818,164.45325079366,besu
MODEXP,2328.61545454546,224.895347160771,besu
ECADD,3661.04272727273,267.978016862711,besu
ECMUL,3679.61272727273,317.434154329081,besu
ECPAIRING79000,307755.748181818,56.9734228883076,besu
ECPAIRING113000,439071.774545455,104.505787615715,besu
ECPAIRING181000,701656.452727272,189.278571654125,besu
ECPAIRING317000,1227093.07909091,355.098481479767,besu
BLAKE2F,1613.42090909091,251.330435502764,besu
POINTEVAL,851749.68,45.6189266619499,besu
