op,estimate_marginal_ns,estimate_marginal_ns_stderr,env
ADD,132.268049156587,27.8352212954225,ethereumjs
MUL,199.721986272174,14.7046724779946,ethereumjs
SUB,178.941243240653,36.7858214250609,ethereumjs
DIV,269.208747229924,31.3528293498523,ethereumjs
SDIV,227.800674471305,16.8822637948746,ethereumjs
MOD,192.207785980343,15.3090885377483,ethereumjs
SMOD,258.442206726753,18.8632751596621,ethereumjs
ADDMOD,263.743067711913,23.6911082902295,ethereumjs
MULMOD,231.62042742197,19.5152069228457,ethereumjs
EXP,673.705895095768,18.986059081785,ethereumjs
SIGNEXTEND,350.472385922915,28.2077848422383,ethereumjs
LT,97.0769363755352,25.3607675697763,ethereumjs
GT,86.5269554620237,29.6858155151434,ethereumjs
SLT,157.210696038274,26.8375130741368,ethereumjs
SGT,198.111161390985,18.2313670478719,ethereumjs
EQ,122.828604465683,19.8777108531678,ethereumjs
ISZERO,153.647231254475,25.8441189352141,ethereumjs
AND,164.264664841073,27.6181692885404,ethereumjs
OR,185.286921392904,27.1588011114763,ethereumjs
XOR,183.117456920582,16.2685593223461,ethereumjs
NOT,197.414155270396,27.6620731110841,ethereumjs
BYTE,278.910653539576,21.3367141583162,ethereumjs
SHL,225.878253174689,16.8206636183723,ethereumjs
SHR,154.581434599537,18.0552769536393,ethereumjs
SAR,262.109158982603,20.0847743900926,ethereumjs
KECCAK256,6353.65401948631,35.528082553013,ethereumjs
ADDRESS,457.182612180299,12.815773136593,ethereumjs
ORIGIN,466.131010300947,11.6686556139318,ethereumjs
CALLER,449.589366391519,13.00301807084,ethereumjs
CALLVALUE,189.160484815624,7.94637464399455,ethereumjs
CALLDATALOAD,228.455392405153,31.374864753549,ethereumjs
CALLDATASIZE,204.262738121189,7.79845741316107,ethereumjs
CALLDATACOPY,1000.49364932381,24.0300181194691,ethereumjs
CODESIZE,142.206924185083,10.7463613832731,ethereumjs
CODECOPY,669.668083243487,18.0388232260873,ethereumjs
GASPRICE,113.562290175379,10.9820092628461,ethereumjs
EXTCODESIZE,1169.14168493254,260.989564122298,ethereumjs
EXTCODECOPY,968.621931413388,355.525577306589,ethereumjs
RETURNDATASIZE,218.794562143403,8.06374699700963,ethereumjs
RETURNDATACOPY,803.046383843783,10.7671507653134,ethereumjs
EXTCODEHASH,1346.27000257291,210.389748635192,ethereumjs
COINBASE,575.032130251072,18.6919563213713,ethereumjs
TIMESTAMP,211.415418895107,8.86507379448096,ethereumjs
NUMBER,209.454484387483,4.3709446564437,ethereumjs
DIFFICULTY,653.181139985505,9.39671542276491,ethereumjs
GASLIMIT,209.338057739634,12.0617683074855,ethereumjs
CHAINID,163.604577029142,8.25132425417189,ethereumjs
SELFBALANCE,123.716434221678,8.02630791188634,ethereumjs
