op,estimate_marginal_ns,estimate_marginal_ns_stderr,env
ECRECOVER,547678.836895455,125.013621422466,evmone
SHA2-256,130.807436363636,0.336981119110973,evmone
RIPEMD-160,277.943218181818,0.427301013935808,evmone
IDENTITY,88.8342372727273,0.665693319756696,evmone
MODEXP,322.883745454546,0.452562916902984,evmone
ECADD,10493.6406181818,2.86994879588815,evmone
ECMUL,12181.2443318182,5.16008308469202,evmone
ECPAIRING79000,432.166045454546,0.293891479928054,evmone
ECPAIRING113000,609.286245454545,0.230255024562117,evmone
ECPAIRING181000,1111.91081818182,0.439797589932204,evmone
ECPAIRING317000,2104.65574545455,1.07482169256936,evmone
BLAKE2F,223.430968181818,0.261674847949001,evmone
POINTEVAL,846884.717645455,186.83513269165,evmone
