op,estimate_marginal_ns,estimate_marginal_ns_stderr,env
ECRECOVER,38247.1009090909,86.5741119257902,geth
SHA2-256,261.998181818182,15.7974779054327,geth
RIPEMD-160,499.277272727273,17.7492847926888,geth
IDENTITY,214.085454545454,15.9362747380074,geth
MODEXP,715.769090909091,27.3270187962421,geth
ECADD,8182.15090909091,29.3037919803235,geth
ECMUL,52555.13,105.793909253652,geth
ECPAIRING79000,952035.339090909,3786.7700502694,geth
ECPAIRING113000,1472080.57454545,10026.3479939725,geth
ECPAIRING181000,2447638.83454545,11717.3822367083,geth
ECPAIRING317000,4501694.26454545,17763.0277133924,geth
BLAKE2F,336.844545454545,3.60859929735748,geth
POINTEVAL,882548.453636363,4081.3462257872,geth
