op,estimate_marginal_ns,estimate_marginal_ns_stderr,env
ECRECOVER,26878.779195194,416.580090475706,nethermind
SHA2-256,2919.97958609554,64.9466284711097,nethermind
RIPEMD-160,4020.3871288539,83.5291016539555,nethermind
IDENTITY,2230.60666332912,56.1498751426309,nethermind
MODEXP,6815.68828948282,263.597287230188,nethermind
ECADD,3895.53316884487,62.5876774879189,nethermind
ECMUL,4781.81984089912,116.856401029654,nethermind
ECPAIRING79000,995295.022409099,693.326102110705,nethermind
ECPAIRING113000,1454273.58910022,551.46974757897,nethermind
ECPAIRING181000,2371975.82742345,422.275158727623,nethermind
ECPAIRING317000,4187754.57786807,947.511787993216,nethermind
BLAKE2F,2352.73978643764,59.9766398095449,nethermind
POINTEVAL,11482.1891127519,96.1562013379927,nethermind
