program_id,sample_id,total_time_ns,iterations_count,margin_of_error
ADD_40,1,86848.96098242865,1152,±4.45%
ADD_40,2,88114.93592115225,1135,±5.08%
ADD_40,3,88670.58179057235,1128,±4.89%
ADD_40,4,87345.81293497545,1145,±4.74%
ADD_40,5,87043.33981840669,1156,±4.92%
ADD_40,6,88111.9110510738,1135,±5.03%
ADD_40,7,87973.072115748,1137,±5.06%
ADD_40,8,87356.52074022585,1145,±4.69%
ADD_40,9,87132.87592764931,1148,±4.99%
ADD_40,10,93907.4735686253,1065,±7.72%
ADD_45,1,89416.38861762152,1125,±4.19%
ADD_45,2,88753.79587764114,1127,±4.51%
ADD_45,3,91036.0459526416,1099,±4.88%
ADD_45,4,89369.7670527867,1120,±4.24%
ADD_45,5,89410.04721579327,1119,±4.90%
ADD_45,6,90458.75094036081,1106,±4.96%
ADD_45,7,92739.81584013338,1079,±4.92%
ADD_45,8,87279.27340401545,1152,±3.93%
ADD_45,9,88955.95296223958,1125,±4.90%
ADD_45,10,88827.10268823545,1126,±4.64%
ADD_5,1,82191.80581211162,1217,±4.88%
ADD_5,2,87731.26434861569,1140,±6.00%
ADD_5,3,82074.32885361656,1219,±3.37%
ADD_5,4,82527.0158622918,1212,±4.79%
ADD_5,5,81960.35474172681,1221,±4.60%
ADD_5,6,85675.07626259162,1168,±4.61%
ADD_5,7,81673.30372090242,1225,±4.29%
ADD_5,8,83423.35043200062,1199,±5.09%
ADD_5,9,86890.67055099846,1151,±6.18%
ADD_5,10,83428.92453509434,1199,±2.76%
ADD_10,1,83404.73190956656,1199,±4.93%
ADD_10,2,87939.98812120702,1138,±6.39%
ADD_10,3,82925.36316424065,1206,±3.66%
ADD_10,4,84084.13414193802,1190,±5.01%
ADD_10,5,85824.23686163298,1166,±5.21%
ADD_10,6,87743.7491341773,1142,±5.39%
ADD_10,7,82794.78214989023,1210,±4.64%
ADD_10,8,84677.45478126984,1181,±4.30%
ADD_10,9,84854.75367059943,1179,±5.00%
ADD_10,10,85307.14160239503,1173,±5.71%
ADD_25,1,83914.66076742082,1192,±4.66%
ADD_25,2,85481.3013321314,1170,±4.93%
ADD_25,3,86834.80779570345,1157,±4.87%
ADD_25,4,83875.83039532363,1193,±4.59%
ADD_25,5,86893.12309311537,1151,±5.23%
ADD_25,6,88772.14162669143,1127,±5.35%
ADD_25,7,83700.5168324235,1195,±4.40%
ADD_25,8,86485.83388266733,1157,±5.38%
ADD_25,9,86937.63341829117,1151,±5.30%
ADD_25,10,85552.63653078888,1169,±5.40%
ADD_15,1,85360.60841010293,1172,±4.90%
ADD_15,2,85444.18895275137,1171,±4.72%
ADD_15,3,89705.57927016186,1115,±4.82%
ADD_15,4,86044.26560274816,1163,±4.59%
ADD_15,5,85749.41287003935,1167,±4.89%
ADD_15,6,90661.382760779,1114,±8.13%
ADD_15,7,82488.75579456604,1213,±3.81%
ADD_15,8,86025.48404080236,1163,±5.05%
ADD_15,9,87566.11654567387,1148,±5.12%
