program_id,sample_id,total_time_ns,iterations_count,std_dev_time_ns
ADD_40,1,722,1333200,44.82
ADD_40,2,749,1353400,36.45
ADD_40,3,729,1338250,32.57
ADD_40,4,747,1343300,36.35
ADD_40,5,747,1318050,27.86
ADD_40,6,708,1383700,44.66
ADD_40,7,750,1338250,34.78
ADD_40,8,736,1358450,38.66
ADD_40,9,750,1302900,41.73
ADD_40,10,728,1353400,44.47
ADD_45,1,749,1363500,40.97
ADD_45,2,749,1328150,35.49
ADD_45,3,740,1353400,35.95
ADD_45,4,764,1297850,26.65
ADD_45,5,752,1287750,36.17
ADD_45,6,754,1323100,35.29
ADD_45,7,748,1287750,44.84
ADD_45,8,741,1313000,40.01
ADD_45,9,753,1318050,36.61
ADD_45,10,745,1343300,40.18
ADD_5,1,662,1474600,30.38
ADD_5,2,677,1459450,39.91
ADD_5,3,670,1464500,44.85
ADD_5,4,676,1434200,27.61
ADD_5,5,683,1530150,39.77
ADD_5,6,670,1484700,38.31
ADD_5,7,655,1494800,40.46
ADD_5,8,672,1408950,35.35
ADD_5,9,668,1520050,38.71
ADD_5,10,648,1489750,32.56
ADD_10,1,700,1449350,37.74
ADD_10,2,698,1398850,29.96
ADD_10,3,667,1429150,45.06
ADD_10,4,676,1439250,44.19
ADD_10,5,717,1383700,32.89
ADD_10,6,695,1464500,26.82
ADD_10,7,704,1444300,32.37
ADD_10,8,712,1353400,32.36
ADD_10,9,729,1368550,32.56
ADD_10,10,695,1419050,35.78
ADD_25,1,717,1398850,32.73
ADD_25,2,727,1378650,27.67
ADD_25,3,730,1307950,28.35
ADD_25,4,711,1393800,43.21
ADD_25,5,716,1393800,40.26
ADD_25,6,734,1398850,33.22
ADD_25,7,714,1398850,31.17
ADD_25,8,713,1378650,29.55
ADD_25,9,721,1383700,30.18
ADD_25,10,716,1373600,35.81
ADD_15,1,710,1393800,37.26
ADD_15,2,718,1408950,33.88
ADD_15,3,700,1398850,31.97
ADD_15,4,712,1388750,31.52
ADD_15,5,714,1393800,29.38
ADD_15,6,712,1383700,28.58
ADD_15,7,715,1378650,44.73
ADD_15,8,713,1373600,31.34
ADD_15,9,715,1378650,34.62
ADD_15,10,705,1398850,31.8
ADD_35,1,735,1353400,40.32
ADD_35,2,730,1358450,41.07
ADD_35,3,725,1429150,40.55
ADD_35,4,736,1353400,43.04
ADD_35,5,731,1348350,38.61
ADD_35,6,727,1373600,29.18
ADD_35,7,709,1373600,51.26
ADD_35,8,724,1353400,34.84
ADD_35,9,727,1363500,41.28
ADD_35,10,735,1373600,32.94
ADD_20,1,709,1408950,31.95
ADD_20,2,698,1403900,31.95
ADD_20,3,705,1439250,31.42
ADD_20,4,721,1358450,29.17
ADD_20,5,711,1378650,26.3
ADD_20,6,716,1363500,31.41
ADD_20,7,713,1378650,25.28
ADD_20,8,700,1414000,34.83
ADD_20,9,718,1408950,31.98
ADD_20,10,702,1408950,30.12
ADD_0,1,633,1509950,59.24
ADD_0,2,621,1605900,48.54
ADD_0,3,637,1509950,55.01
ADD_0,4,669,1469550,38.04
ADD_0,5,617,1474600,31.44
ADD_0,6,601,1661450,26.13
ADD_0,7,629,1494800,30.56
ADD_0,8,627,1570550,45.16
ADD_0,9,637,1540250,47.45
ADD_0,10,654,1550350,37.75
ADD_50,1,736,1353400,51.53
ADD_50,2,735,1353400,40.89
ADD_50,3,743,1393800,42.23
ADD_50,4,728,1414000,47.57
ADD_50,5,739,1313000,33.77
ADD_50,6,716,1348350,35.75
ADD_50,7,711,1307950,26.3
ADD_50,8,706,1287750,40.14
ADD_50,9,743,1408950,47.54
ADD_50,10,732,1378650,47.68
ADD_30,1,721,1383700,36.99
ADD_30,2,703,1383700,33.93
ADD_30,3,717,1373600,31.79
ADD_30,4,704,1378650,30.22
ADD_30,5,725,1388750,39.53
ADD_30,6,729,1353400,35.37
ADD_30,7,705,1368550,37.86
ADD_30,8,720,1368550,36.8
ADD_30,9,720,1388750,35.41
ADD_30,10,710,1348350,35.35
MUL_40,1,770,1297850,49.16
MUL_40,2,742,1257450,42.72
MUL_40,3,754,1272600,49.55
MUL_40,4,769,1277650,45.16
MUL_40,5,768,1318050,47.21
MUL_40,6,759,1292800,45.49
MUL_40,7,754,1247350,33.47
MUL_40,8,753,1277650,50.79
MUL_40,9,753,1257450,46.77
MUL_40,10,766,1282700,50.95
MUL_45,1,771,1237250,41.52
MUL_45,2,767,1227150,46.07
MUL_45,3,756,1267550,42.41
MUL_45,4,785,1287750,45.12
MUL_45,5,761,1262500,37.45
MUL_45,6,780,1257450,37.0
MUL_45,7,775,1297850,44.6
MUL_45,8,784,1252400,42.96
MUL_45,9,777,1257450,49.12
MUL_45,10,764,1237250,38.21
MUL_5,1,667,1449350,48.93
MUL_5,2,679,1434200,47.14
MUL_5,3,666,1464500,33.97
MUL_5,4,672,1414000,39.68
MUL_5,5,676,1403900,35.11
MUL_5,6,693,1398850,40.42
MUL_5,7,665,1484700,45.52
MUL_5,8,684,1424100,44.65
MUL_5,9,664,1504900,42.2
MUL_5,10,661,1439250,45.16
MUL_10,1,719,1383700,37.05
MUL_10,2,686,1393800,45.09
MUL_10,3,681,1449350,39.54
MUL_10,4,704,1383700,40.86
MUL_10,5,689,1434200,40.8
MUL_10,6,678,1429150,49.0
MUL_10,7,685,1393800,49.74
MUL_10,8,680,1403900,51.54
MUL_10,9,711,1378650,40.14
MUL_10,10,698,1444300,40.34
MUL_25,1,724,1363500,43.56
MUL_25,2,738,1282700,44.98
MUL_25,3,725,1307950,45.87
MUL_25,4,738,1302900,48.67
MUL_25,5,733,1292800,43.1
MUL_25,6,730,1373600,46.99
MUL_25,7,728,1358450,41.1
MUL_25,8,731,1333200,41.89
MUL_25,9,738,1297850,45.92
MUL_25,10,736,1302900,41.36
MUL_15,1,692,1307950,49.11
MUL_15,2,698,1414000,47.72
MUL_15,3,702,1388750,43.29
MUL_15,4,705,1444300,40.99
MUL_15,5,700,1383700,39.7
MUL_15,6,704,1378650,51.28
MUL_15,7,709,1388750,49.13
MUL_15,8,693,1358450,44.37
MUL_15,9,707,1403900,42.92
MUL_15,10,719,1388750,44.31
MUL_35,1,744,1323100,48.46
MUL_35,2,746,1328150,47.9
MUL_35,3,755,1307950,49.23
MUL_35,4,748,1313000,49.95
MUL_35,5,730,1343300,37.78
MUL_35,6,746,1343300,52.47
MUL_35,7,753,1378650,47.4
MUL_35,8,754,1267550,47.38
MUL_35,9,756,1323100,48.97
MUL_35,10,741,1297850,43.33
MUL_20,1,719,1398850,45.29
MUL_20,2,707,1368550,47.63
MUL_20,3,707,1368550,41.91
MUL_20,4,727,1363500,46.11
MUL_20,5,703,1398850,46.16
MUL_20,6,723,1368550,46.72
MUL_20,7,710,1373600,49.26
MUL_20,8,697,1368550,43.39
MUL_20,9,713,1388750,43.05
MUL_20,10,702,1363500,43.98
MUL_0,1,667,1474600,40.8
MUL_0,2,637,1565500,60.74
MUL_0,3,661,1535200,51.96
MUL_0,4,659,1525100,50.06
MUL_0,5,609,1525100,37.95
MUL_0,6,628,1570550,52.65
MUL_0,7,637,1555400,53.1
MUL_0,8,643,1424100,56.67
MUL_0,9,618,1499850,34.99
MUL_0,10,619,1520050,31.24
MUL_50,1,793,1297850,55.24
MUL_50,2,744,1227150,31.65
MUL_50,3,796,1252400,44.76
MUL_50,4,747,1282700,35.04
MUL_50,5,765,1333200,49.7
MUL_50,6,781,1318050,55.87
MUL_50,7,777,1247350,53.51
MUL_50,8,769,1267550,43.26
MUL_50,9,784,1272600,54.91
MUL_50,10,742,1227150,36.25
MUL_30,1,715,1368550,32.87
MUL_30,2,748,1302900,45.06
MUL_30,3,716,1323100,36.19
MUL_30,4,727,1378650,50.53
MUL_30,5,747,1323100,36.65
MUL_30,6,725,1307950,52.65
MUL_30,7,709,1313000,34.42
MUL_30,8,727,1343300,51.55
MUL_30,9,739,1287750,56.32
MUL_30,10,740,1338250,44.02
SUB_40,1,729,1348350,38.97
SUB_40,2,719,1277650,42.72
SUB_40,3,751,1313000,29.2
SUB_40,4,713,1403900,35.75
SUB_40,5,725,1393800,41.0
SUB_40,6,757,1297850,40.75
SUB_40,7,729,1378650,48.02
SUB_40,8,713,1383700,31.01
SUB_40,9,718,1287750,47.14
